Rentrée universitaire,catégorie d'établissement,secteur d'établissement,code UAI de l'établissement,sigle de l'établissement,libellé de l'établissement,libellé complémentaire de l'établissement,Code UAI de la composante,sigle de la composante,libellé de la composante,libellé complémentaire de la composante,id région,région,id académie,académie,id département,département,id unité urbaine,unité urbaine,code commune,Commune,gps,degetu,degre_etudes,nombre total d’étudiants inscrits hors doubles inscriptions université/CPGE,dont femmes,dont hommes
2019,Lycées,Privé,0351047Y,LEAP,LYCEE AGRICOLE PRIVE,ST EXUPERY - RENNES,0351047Y,LEAP,LYCEE AGRICOLE PRIVE,ST EXUPERY - RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.13189896626697, -1.7111699381214773",,,103,36,67
2019,Lycées,Public,0350700W,LEGTA,LEGT AGRICOLE,DE RENNES LE RHEU,0350700W,LEGTA,LEGT AGRICOLE,DE RENNES LE RHEU,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35302,Le Rheu,35240,Le Rheu,"48.09938942321075, -1.8092498270455983",,,271,111,160
2019,Lycées,Public,0351907H,LGT,LYCEE GENERAL ET TECHNOLOGIQUE,RENE DESCARTES,0351907H,LGT,LYCEE GENERAL ET TECHNOLOGIQUE,RENE DESCARTES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.08839577196922, -1.6428793424832282",,,195,129,66
2019,Lycées,Public,0350032V,LP LYC METIER,LP LYCEE DES METIERS,LOUIS GUILLOUX,0350032V,LP LYC METIER,LP LYCEE DES METIERS,LOUIS GUILLOUX,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.125827732598204, -1.6307600681044545",,,15,4,11
2019,Universités,Public,0290346U,U BREST,UNIVERSITE  BREST,BRETAGNE OCCIDENTALE,0351579B,UFR MATHS,UFR MATHEMATIQUES,UNIVERSITE RENNES 1,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",,,74,31,43
2019,Universités,Public,0290346U,U BREST,UNIVERSITE  BREST,BRETAGNE OCCIDENTALE,0352426X,UFR SC HUM,UFR SCIENCES HUMAINES,UNIVERSITE RENNES 2,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12421121482742, -1.7002097435784336",,,106,78,28
2019,Universités,Public,0350936C,U RENNES 1,UNIVERSITE RENNES 1,UNIVERSITE RENNES 1,0350075S,IG RENNES 1,INSTITUT DE GESTION RENNES 1,UNIVERSITE RENNES 1,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11728104154247, -1.6723406266225596",,,1320,740,580
2019,Universités,Public,0350936C,U RENNES 1,UNIVERSITE RENNES 1,UNIVERSITE RENNES 1,0350697T,IUT RENNES,IUT RENNES,UNIVERSITE RENNES 1,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12221682828508, -1.6287404076512841",,,1838,637,1201
2019,Universités,Public,0350936C,U RENNES 1,UNIVERSITE RENNES 1,UNIVERSITE RENNES 1,0351574W,UFR SC ECO,UFR SC ECO ET ECO APPLIQUEE,UNIVERSITE RENNES 1,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11610498006906, -1.6765806138697112",,,2556,1297,1259
2019,Universités,Public,0350936C,U RENNES 1,UNIVERSITE RENNES 1,UNIVERSITE RENNES 1,0352076S,UFR SC VIE ENV,UFR SCIENCES VIE ENVIRONNEMENT,UNIVERSITE RENNES 1,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",,,2372,1540,832
