Rentrée universitaire,catégorie d'établissement,secteur d'établissement,code UAI de l'établissement,sigle de l'établissement,libellé de l'établissement,libellé complémentaire de l'établissement,Code UAI de la composante,sigle de la composante,libellé de la composante,libellé complémentaire de la composante,id région,région,id académie,académie,id département,département,id unité urbaine,unité urbaine,code commune,Commune,gps,degetu,degre_etudes,nombre total d’étudiants inscrits hors doubles inscriptions université/CPGE,dont femmes,dont hommes
2023,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0350075S,IG RENNES,INSTITUT DE GESTION RENNES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11728104154247, -1.6723406266225596",3.0,BAC + 3,169,85,84
2023,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0350697T,IUT RENNES,IUT RENNES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12221682828508, -1.6287404076512841",2.0,BAC + 2,578,232,346
2023,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0350697T,IUT RENNES,IUT RENNES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12221682828508, -1.6287404076512841",3.0,BAC + 3,561,175,386
2023,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0350699V,IPAG RENNES,IPAG RENNES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.118360036961136, -1.6674524383967937",5.0,BAC + 5,44,33,11
2023,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0350899M,UFR ODONTOLOG,UFR ODONTOLOGIE,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.117525814316345, -1.6966705794419807",5.0,BAC + 5,81,42,39
2023,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351573V,UFR SC JURID,UFR SCIENCES JURIDIQUES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11795556476907, -1.6697200276533222",0.0,Inférieur ou égal au baccalauréat,19,11,8
2023,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351573V,UFR SC JURID,UFR SCIENCES JURIDIQUES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11795556476907, -1.6697200276533222",2.0,BAC + 2,833,587,246
2023,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351574W,UFR SC ECO,UFR SC ECO ET ECO APPLIQUEE,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11610498006906, -1.6765806138697112",1.0,BAC + 1,607,256,351
2023,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351574W,UFR SC ECO,UFR SC ECO ET ECO APPLIQUEE,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11610498006906, -1.6765806138697112",5.0,BAC + 5,660,387,273
2023,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351576Y,UFR SC MEDICAL,UFR SCIENCES MEDICALES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.117525814316345, -1.6966705794419807",6.0,BAC + 6 et plus,2158,1377,781
2023,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351577Z,UFR SC PHARM,UFR SC PHARMACEUTIQUES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.117525814316345, -1.6966705794419807",1.0,BAC + 1,236,210,26
2023,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351577Z,UFR SC PHARM,UFR SC PHARMACEUTIQUES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.117525814316345, -1.6966705794419807",2.0,BAC + 2,196,154,42
2023,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351577Z,UFR SC PHARM,UFR SC PHARMACEUTIQUES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.117525814316345, -1.6966705794419807",4.0,BAC + 4,113,89,24
2023,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351577Z,UFR SC PHARM,UFR SC PHARMACEUTIQUES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.117525814316345, -1.6966705794419807",6.0,BAC + 6 et plus,348,228,120
2023,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0351579B,UFR MATHS,UFR MATHEMATIQUES,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",2.0,BAC + 2,115,39,76
2023,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0352076S,UFR SC VIE ENV,UFR SCIENCES VIE ENVIRONNEMENT,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",2.0,BAC + 2,439,288,151
2023,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0352076S,UFR SC VIE ENV,UFR SCIENCES VIE ENVIRONNEMENT,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11412271889446, -1.6376903820335271",6.0,BAC + 6 et plus,61,35,26
2023,Universités,Public,0353074B,UR (EPE),UNIVERSITE,DE RENNES (EPE),0352786N,ESIR,ECOLE SUPERIEURE INGENIEURS RE,UNIVERSITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.114452391497785, -1.6467986203667293",2.0,BAC + 2,75,15,60
2024,Écoles supérieures artistiques et culturelles,Privé,0352252H,EC ART PR ESRA,ECOLE SUPERIEURE,DE REALISATION AUDIOVISUELLE D,0352252H,EC ART PR ESRA,ECOLE SUPERIEURE,DE REALISATION AUDIOVISUELLE D,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12869941598695, -1.6421698171981294",1.0,BAC + 1,71,20,51
2024,Écoles supérieures artistiques et culturelles,Privé,0352477C,LISAA RENNES,INST SUPERIEUR ARTS APPLIQUES,GALILEO GLOBAL EDUCATION,0352477C,LISAA RENNES,INST SUPERIEUR ARTS APPLIQUES,GALILEO GLOBAL EDUCATION,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.10852341255922, -1.6811101748086739",2.0,BAC + 2,161,123,38
2024,Écoles supérieures artistiques et culturelles,Privé,0353130M,EC TECH SUP PR,ECOLE SUPERIEURE PRIVEE,STUDIO M - AFTEC RENNES,0353130M,EC TECH SUP PR,ECOLE SUPERIEURE PRIVEE,STUDIO M - AFTEC RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,,1.0,BAC + 1,80,29,51
2024,Écoles supérieures artistiques et culturelles,Privé,0353130M,EC TECH SUP PR,ECOLE SUPERIEURE PRIVEE,STUDIO M - AFTEC RENNES,0353130M,EC TECH SUP PR,ECOLE SUPERIEURE PRIVEE,STUDIO M - AFTEC RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,,2.0,BAC + 2,56,22,34
2024,Écoles supérieures artistiques et culturelles,Privé,0353130M,EC TECH SUP PR,ECOLE SUPERIEURE PRIVEE,STUDIO M - AFTEC RENNES,0353130M,EC TECH SUP PR,ECOLE SUPERIEURE PRIVEE,STUDIO M - AFTEC RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,,3.0,BAC + 3,35,11,24
2024,Écoles supérieures artistiques et culturelles,Public,0352845C,PT SUP - PESSV,LE PONT SUPERIEUR,PESSV BRETAGNE - PAYS DE LOIRE,0352845C,PT SUP - PESSV,LE PONT SUPERIEUR,PESSV BRETAGNE - PAYS DE LOIRE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.087854740700195, -1.6563033752353826",3.0,BAC + 3,16,13,3
2024,Autres écoles de spécialités diverses,Privé,0352719R,EC SUP PR,SUP OUEST,AFTEC RENNES,0352719R,EC SUP PR,SUP OUEST,AFTEC RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.090878710729896, -1.6312196784789788",1.0,BAC + 1,9,2,7
2024,Autres écoles de spécialités diverses,Privé,0352779F,EC SUP PR,CENTRE DE FORMATION,MENSA,0352779F,EC SUP PR,CENTRE DE FORMATION,MENSA,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.094847600446954, -1.6344497651488852",2.0,BAC + 2,75,57,18
2024,Autres écoles de spécialités diverses,Privé,0352952U,OF - CFA,OF - CFA,LODIMA OUEST BRUZ,0352952U,OF - CFA,OF - CFA,LODIMA OUEST BRUZ,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,,1.0,BAC + 1,138,63,75
2024,Autres écoles de spécialités diverses,Privé,0352954W,OF - CFA,OF - CFA,INSTITUT BRETON D'EDUCATION PE,0352954W,OF - CFA,OF - CFA,INSTITUT BRETON D'EDUCATION PE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,,1.0,BAC + 1,10,6,4
2024,Autres écoles de spécialités diverses,Privé,0352970N,EC TECH SUP PR,SDV EDU,CHANTEPIE,0352970N,EC TECH SUP PR,SDV EDU,CHANTEPIE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35055,Chantepie,"48.09829176748678, -1.6227352061907667",4.0,BAC + 4,6,0,6
2024,Autres écoles de spécialités diverses,Privé,0353005B,OF - CFA,OF-CFA,DU GROUPE AFTEC RENNES,0353005B,OF - CFA,OF-CFA,DU GROUPE AFTEC RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,,2.0,BAC + 2,269,130,139
2024,Autres écoles de spécialités diverses,Privé,0353021U,OF - CFA,OF-CFA,POLE BTS ALTERNANCE RENNES,0353021U,OF - CFA,OF-CFA,POLE BTS ALTERNANCE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,,1.0,BAC + 1,32,17,15
2024,Autres écoles de spécialités diverses,Privé,0353080H,OF CFA,ORGANISME FORMATION-CFA,ESCAM RENNES,0353080H,OF CFA,ORGANISME FORMATION-CFA,ESCAM RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,,2.0,BAC + 2,21,12,9
2024,Autres écoles de spécialités diverses,Privé,0353098C,SITE OF-CFA,SITE DE FORMATION OF CFA,ESARC EVOLUTION RENNES,0353098C,SITE OF-CFA,SITE DE FORMATION OF CFA,ESARC EVOLUTION RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,,1.0,BAC + 1,18,12,6
2024,Autres écoles de spécialités diverses,Privé,0353129L,EC SUP TECH PR,ECOLE SUPERIEURE PRIVEE,TUNON -AFTEC RENNES,0353129L,EC SUP TECH PR,ECOLE SUPERIEURE PRIVEE,TUNON -AFTEC RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,,5.0,BAC + 5,22,20,2
2024,Autres écoles de spécialités diverses,Privé,0353132P,EC TECH SUP PR,ECOLE SUPERIEURE PRIVEE,GALIEN MANAGEMENT ET SANTE - R,0353132P,EC TECH SUP PR,ECOLE SUPERIEURE PRIVEE,GALIEN MANAGEMENT ET SANTE - R,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,,1.0,BAC + 1,3,3,0
2022,Écoles d'architecture,Public,0350089G,EC ART PU,ECOLE NAT. SUP. ARCHITECTURE,DE BRETAGNE,0350089G,EC ART PU,ECOLE NAT. SUP. ARCHITECTURE,DE BRETAGNE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.119332287323736, -1.6834495168778594",1.0,BAC + 1,154,98,56
2022,Écoles d'architecture,Public,0350089G,EC ART PU,ECOLE NAT. SUP. ARCHITECTURE,DE BRETAGNE,0350089G,EC ART PU,ECOLE NAT. SUP. ARCHITECTURE,DE BRETAGNE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.119332287323736, -1.6834495168778594",3.0,BAC + 3,112,71,41
2022,Écoles d'architecture,Public,0350089G,EC ART PU,ECOLE NAT. SUP. ARCHITECTURE,DE BRETAGNE,0350089G,EC ART PU,ECOLE NAT. SUP. ARCHITECTURE,DE BRETAGNE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.119332287323736, -1.6834495168778594",5.0,BAC + 5,160,103,57
2022,Écoles supérieures artistiques et culturelles,Privé,0352253J,EC ART PR,ECOLE TECHNIQUE PRIVEE,MJM GRAPHIC DESIGN,0352253J,EC ART PR,ECOLE TECHNIQUE PRIVEE,MJM GRAPHIC DESIGN,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11519114649456, -1.6660295349759653",0.0,Inférieur ou égal au baccalauréat,31,16,15
2022,Écoles supérieures artistiques et culturelles,Privé,0352253J,EC ART PR,ECOLE TECHNIQUE PRIVEE,MJM GRAPHIC DESIGN,0352253J,EC ART PR,ECOLE TECHNIQUE PRIVEE,MJM GRAPHIC DESIGN,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11519114649456, -1.6660295349759653",2.0,BAC + 2,78,53,25
2022,Écoles supérieures artistiques et culturelles,Privé,0352261T,ESMOD,ECOLE SUP ARTS TECHNIQUES MODE,nan,0352261T,ESMOD,ECOLE SUP ARTS TECHNIQUES MODE,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11353795684419, -1.6864395960947542",1.0,BAC + 1,27,25,2
2022,Écoles supérieures artistiques et culturelles,Privé,0352477C,LISAA RENNES,INST SUPERIEUR ARTS APPLIQUES,GALILEO GLOBAL EDUCATION,0352477C,LISAA RENNES,INST SUPERIEUR ARTS APPLIQUES,GALILEO GLOBAL EDUCATION,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.10852341255922, -1.6811101748086739",3.0,BAC + 3,111,85,26
2022,Écoles supérieures artistiques et culturelles,Privé,0352477C,LISAA RENNES,INST SUPERIEUR ARTS APPLIQUES,GALILEO GLOBAL EDUCATION,0352477C,LISAA RENNES,INST SUPERIEUR ARTS APPLIQUES,GALILEO GLOBAL EDUCATION,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.10852341255922, -1.6811101748086739",4.0,BAC + 4,95,66,29
2022,Écoles supérieures artistiques et culturelles,Public,0352845C,PT SUP - PESSV,LE PONT SUPERIEUR,PESSV BRETAGNE - PAYS DE LOIRE,0352845C,PT SUP - PESSV,LE PONT SUPERIEUR,PESSV BRETAGNE - PAYS DE LOIRE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.087854740700195, -1.6563033752353826",2.0,BAC + 2,17,4,13
2022,Écoles supérieures artistiques et culturelles,Public,0352854M,ESA RENNES,ECOLE SUPERIEURE D'ART,EESAB SITE DE RENNES,0352854M,ESA RENNES,ECOLE SUPERIEURE D'ART,EESAB SITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11425841018578, -1.677250348749074",1.0,BAC + 1,62,53,9
2022,Écoles supérieures artistiques et culturelles,Public,0352854M,ESA RENNES,ECOLE SUPERIEURE D'ART,EESAB SITE DE RENNES,0352854M,ESA RENNES,ECOLE SUPERIEURE D'ART,EESAB SITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11425841018578, -1.677250348749074",3.0,BAC + 3,63,49,14
2022,Écoles supérieures artistiques et culturelles,Public,0352854M,ESA RENNES,ECOLE SUPERIEURE D'ART,EESAB SITE DE RENNES,0352854M,ESA RENNES,ECOLE SUPERIEURE D'ART,EESAB SITE DE RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11425841018578, -1.677250348749074",4.0,BAC + 4,52,42,10
2022,Autres écoles de spécialités diverses,Privé,0350998V,CFA,CTRE DE FORMATION D'APPRENTIS,DE LA CMA BRETAGNE - FACULTE D,0350998V,CFA,CTRE DE FORMATION D'APPRENTIS,DE LA CMA BRETAGNE - FACULTE D,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,,2.0,BAC + 2,34,0,34
2022,Autres écoles de spécialités diverses,Privé,0351002Z,ANT CFA,ANTENNE DE CFA,BATIMENT D'ILLE ET VILAINE,0351002Z,ANT CFA,ANTENNE DE CFA,BATIMENT D'ILLE ET VILAINE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35189,Montgermont,,1.0,BAC + 1,30,2,28
2022,Autres écoles de spécialités diverses,Privé,0352354U,EC SUP PR,I H E C F,INSTITUT DES HAUTES ETUDES COM,0352354U,EC SUP PR,I H E C F,INSTITUT DES HAUTES ETUDES COM,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,"48.04956111131656, -1.7427807565608635",4.0,BAC + 4,117,50,67
2022,Autres écoles de spécialités diverses,Privé,0352449X,OF CFA,ORGANISME FORMATION-CFA,I.N.H.N.I.,0352449X,OF CFA,ORGANISME FORMATION-CFA,I.N.H.N.I.,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,,2.0,BAC + 2,26,8,18
2022,Autres écoles de spécialités diverses,Privé,0352477C,LISAA RENNES,INST SUPERIEUR ARTS APPLIQUES,GALILEO GLOBAL EDUCATION,0352477C,LISAA RENNES,INST SUPERIEUR ARTS APPLIQUES,GALILEO GLOBAL EDUCATION,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.10852341255922, -1.6811101748086739",1.0,BAC + 1,151,124,27
2022,Autres écoles de spécialités diverses,Privé,0352719R,EC SUP PR,SUP OUEST,AFTEC RENNES,0352719R,EC SUP PR,SUP OUEST,AFTEC RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.090878710729896, -1.6312196784789788",2.0,BAC + 2,7,1,6
2022,Autres écoles de spécialités diverses,Privé,0352785M,EC SUP PR,INSTITUT SUPERIEUR D'OPTIQUE,ISO,0352785M,EC SUP PR,INSTITUT SUPERIEUR D'OPTIQUE,ISO,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.104416301830874, -1.6706496183500394",1.0,BAC + 1,44,31,13
2022,Autres écoles de spécialités diverses,Privé,0352813T,EC TECH PR,ECOLE TECHNIQUE PRIVEE,AFOREM,0352813T,EC TECH PR,ECOLE TECHNIQUE PRIVEE,AFOREM,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.09727691341803, -1.6293395448196226",1.0,BAC + 1,97,62,35
2022,Autres écoles de spécialités diverses,Privé,0352813T,EC TECH PR,ECOLE TECHNIQUE PRIVEE,AFOREM,0352813T,EC TECH PR,ECOLE TECHNIQUE PRIVEE,AFOREM,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.09727691341803, -1.6293395448196226",2.0,BAC + 2,94,55,39
2022,Autres écoles de spécialités diverses,Privé,0352822C,CONT,TOTEM FORMATION,TOTEM FORMATION,0352822C,CONT,TOTEM FORMATION,TOTEM FORMATION,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35051,Cesson-Sévigné,"48.1028845523248, -1.6219501300955168",1.0,BAC + 1,148,78,70
2022,Autres écoles de spécialités diverses,Privé,0352930V,DC RENNES,ECOLE TECH SUP PRIVEE INFORMAT,DIGITAL CAMPUS RENNES,0352930V,DC RENNES,ECOLE TECH SUP PRIVEE INFORMAT,DIGITAL CAMPUS RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.105555197439145, -1.6787462103972417",2.0,BAC + 2,56,33,23
2022,Autres écoles de spécialités diverses,Privé,0352937C,OF - CFA,OF - CFA CESSON-SEVIGNE,LYCEE PRIVE OZANAM,0352937C,OF - CFA,OF - CFA CESSON-SEVIGNE,LYCEE PRIVE OZANAM,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35051,Cesson-Sévigné,,1.0,BAC + 1,30,10,20
2022,Autres écoles de spécialités diverses,Privé,0352952U,OF - CFA,OF - CFA,LODIMA OUEST BRUZ,0352952U,OF - CFA,OF - CFA,LODIMA OUEST BRUZ,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,,1.0,BAC + 1,122,48,74
2022,Autres écoles de spécialités diverses,Privé,0352954W,OF - CFA,OF - CFA,INSTITUT BRETON D'EDUCATION PE,0352954W,OF - CFA,OF - CFA,INSTITUT BRETON D'EDUCATION PE,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,,2.0,BAC + 2,2,2,0
2022,Autres écoles de spécialités diverses,Privé,0353005B,OF - CFA,OF-CFA,DU GROUPE AFTEC RENNES,0353005B,OF - CFA,OF-CFA,DU GROUPE AFTEC RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,,2.0,BAC + 2,345,193,152
2022,Autres écoles de spécialités diverses,Privé,0922467G,EPSI,ETAB SUPERIEUR TECHNIQUE PR,E P S I,0352999V,EC SUP TECH PR,ECOLE SUPERIEURE TECHNIQUE PRI,EPSI RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.1318432054475, -1.7065205826837138",1.0,BAC + 1,6,1,5
2022,Autres écoles de spécialités diverses,Privé,0922467G,EPSI,ETAB SUPERIEUR TECHNIQUE PR,E P S I,0352999V,EC SUP TECH PR,ECOLE SUPERIEURE TECHNIQUE PRI,EPSI RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.1318432054475, -1.7065205826837138",5.0,BAC + 5,21,0,21
2022,Autre établissements d'enseignement universitaire,Privé,0352349N,INST UNIV PR,INSTITUT CATHOLIQUE DE RENNES,nan,0352349N,INST UNIV PR,INSTITUT CATHOLIQUE DE RENNES,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,"48.04865603301857, -1.7447916361905316",2.0,BAC + 2,232,150,82
2022,Autre établissements d'enseignement universitaire,Privé,0352349N,INST UNIV PR,INSTITUT CATHOLIQUE DE RENNES,nan,0352349N,INST UNIV PR,INSTITUT CATHOLIQUE DE RENNES,nan,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,"48.04865603301857, -1.7447916361905316",4.0,BAC + 4,29,23,6
2022,"Écoles de commerce, gestion et vente",Privé,0351884H,OF CFA,ORGANISME FORMATION-CFA,FACULTE DES METIERS CCI ILLE-E,0351884H,OF CFA,ORGANISME FORMATION-CFA,FACULTE DES METIERS CCI ILLE-E,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,,2.0,BAC + 2,219,120,99
2022,"Écoles de commerce, gestion et vente",Privé,0351884H,OF CFA,ORGANISME FORMATION-CFA,FACULTE DES METIERS CCI ILLE-E,0351884H,OF CFA,ORGANISME FORMATION-CFA,FACULTE DES METIERS CCI ILLE-E,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35047,Bruz,,4.0,BAC + 4,22,11,11
2022,"Écoles de commerce, gestion et vente",Privé,0352305R,ESC RENNES,ECOLE SUPERIEURE DE COMMERCE,RENNES,0352305R,ESC RENNES,ECOLE SUPERIEURE DE COMMERCE,RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.12779921760532, -1.6925593713792177",1.0,BAC + 1,292,147,145
2022,"Écoles de commerce, gestion et vente",Privé,0351884H,OF CFA,ORGANISME FORMATION-CFA,FACULTE DES METIERS CCI ILLE-E,0353065S,EC SUP PRIV,ECOLE SUPERIEURE PRIVEE,FERRANDI PARIS - CAMPUS DE REN,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.11240678296901, -1.687908745798019",3.0,BAC + 3,18,14,4
2022,"Écoles de commerce, gestion et vente",Privé,0352710F,EC SUP PR,ECOLE SUPERIEURE PRIVEE,EFIP INSCAM - GROUPE ESCCOT,0352710F,EC SUP PR,ECOLE SUPERIEURE PRIVEE,EFIP INSCAM - GROUPE ESCCOT,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35051,Cesson-Sévigné,"48.101639048995565, -1.6224036801525639",1.0,BAC + 1,1,0,1
2022,"Écoles de commerce, gestion et vente",Privé,0352719R,EC SUP PR,SUP OUEST,AFTEC RENNES,0352719R,EC SUP PR,SUP OUEST,AFTEC RENNES,R53,Bretagne,A14,Rennes,D035,35 - Ille-et-Vilaine,UU35701,Rennes,35238,Rennes,"48.090878710729896, -1.6312196784789788",1.0,BAC + 1,228,117,111
