Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350266Z,ECOLE ELEMENTAIRE PUBLIQUE LEONARD DE VINCI,35120,GEVEZE,public,129.9
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350288Y,ECOLE PRIMAIRE PUBLIQUE LE LONG SILLON,35132,HIREL,public,92.2
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350479F,ECOLE ELEMENTAIRE PUBLIQUE JACQUES PREVERT,35275,SAINT GILLES,public,122.3
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350483K,ECOLE ELEMENTAIRE PUBLIQUE PAUL EMILE VICTOR,35278,SAINT GREGOIRE,public,134.2
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350602P,ECOLE ELEMENTAIRE PUBLIQUE MARCEL PAGNOL,35238,RENNES,public,118.7
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350619H,ECOLE ELEMENTAIRE PUBLIQUE CHATEAUGIRON LANDRY,35238,RENNES,public,119.9
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350631W,ECOLE ELEMENTAIRE PUBLIQUE MOULIN DU COMTE,35238,RENNES,public,103.7
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351064S,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35139,LAILLE,privé sous contrat,123.4
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351197L,ECOLE PRIMAIRE PRIVEE L ARCHE DE NOE,35032,BOURGBARRE,privé sous contrat,118.6
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351245N,ECOLE PRIMAIRE PRIVEE ST AMAND,35206,NOYAL CHATILLON SUR SEICHE,privé sous contrat,124.4
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351372B,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35278,SAINT GREGOIRE,privé sous contrat,139.7
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351536E,ECOLE PRIMAIRE PRIVEE ST MARTIN,35245,ROMILLE,privé sous contrat,115.8
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351558D,ECOLE PRIMAIRE PRIVEE STE BERNADETTE,35351,LE VERGER,privé sous contrat,115.7
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351823S,ECOLE ELEMENTAIRE PUBLIQUE EUGENE ALLANIC,35131,L HERMITAGE,public,116.4
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352038A,ECOLE ELEMENTAIRE PUBLIQUE LE GRETAY,35196,MORDELLES,public,119.8
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352056V,ECOLE PRIMAIRE PUBLIQUE LE CHENE CENTENAIRE,35204,NOUVOITOU,public,121.3
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352335Y,ECOLE PRIMAIRE PRIVEE STE BERNADETTE,35238,RENNES,privé sous contrat,115.6
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352362C,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35051,CESSON SEVIGNE,privé sous contrat,141.0
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352363D,ECOLE PRIMAIRE PRIVEE LE SACRE COEUR,35136,JANZE,privé sous contrat,114.0
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352432D,ECOLE PRIMAIRE PUBLIQUE MARIE PAPE CARPANTIER,35238,RENNES,public,115.4
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352437J,ECOLE PRIMAIRE PUBLIQUE SUZANNE LACORE,35281,SAINT JACQUES DE LA LANDE,public,97.9
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351829Y,ECOLE ELEMENTAIRE PUBLIQUE LEON GRIMAULT,35238,RENNES,public,105.3
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351859F,ECOLE ELEMENTAIRE PUBLIQUE BEAUSOLEIL,35051,CESSON SEVIGNE,public,133.1
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352391J,ECOLE PRIMAIRE PUBLIQUE EUGENE POTTIER,35281,SAINT JACQUES DE LA LANDE,public,102.3
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352536S,ECOLE PRIMAIRE PUBLIQUE LES MEZIERES,35024,BETTON,public,117.2
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352559S,ECOLE PRIMAIRE PUBLIQUE SONIA DELAUNAY,35238,RENNES,public,97.4
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351230X,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35059,LA CHAPELLE DES FOUGERETZ,privé sous contrat,129.0
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351267M,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35088,CORPS NUDS,privé sous contrat,126.4
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351349B,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35131,L HERMITAGE,privé sous contrat,115.0
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351515G,ECOLE PRIMAIRE PRIVEE ST LAURENT,35238,RENNES,privé sous contrat,91.6
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351561G,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35353,VEZIN LE COQUET,privé sous contrat,120.7
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351657L,ECOLE ELEMENTAIRE PUBLIQUE LEONARD DE VINCI,35139,LAILLE,public,125.8
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351659N,ECOLE PRIMAIRE PUBLIQUE LE VIEUX MUR,35144,LANGAN,public,111.6
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351809B,ECOLE ELEMENTAIRE PUBLIQUE LA HAYE RENAUD,35024,BETTON,public,133.6
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352055U,ECOLE ELEMENTAIRE PUBLIQUE LOUISE MICHEL,35238,RENNES,public,119.1
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352137H,ECOLE ELEMENTAIRE PUBLIQUE OLYMPE DE GOUGES,35281,SAINT JACQUES DE LA LANDE,public,107.9
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352150X,ECOLE ELEMENTAIRE PUBLIQUE TORIGNE,35238,RENNES,public,70.9
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352187M,ECOLE ELEMENTAIRE PUBLIQUE CLEMENCEAU,35238,RENNES,public,78.1
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352199A,ECOLE ELEMENTAIRE PUBLIQUE GUILLEVIC,35238,RENNES,public,71.1
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352306S,ECOLE ELEMENTAIRE PUBLIQUE L AUDITOIRE,35066,CHARTRES DE BRETAGNE,public,107.1
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352308U,ECOLE PRIMAIRE PRIVEE MARCEL CALLO,35238,RENNES,privé sous contrat,133.9
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352358Y,ECOLE PRIMAIRE PRIVEE STE JEANNE D ARC,35001,ACIGNE,privé sous contrat,125.1
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352390H,ECOLE PRIMAIRE PUBLIQUE ROGER BEAULIEU,35065,LA CHAPELLE THOUARAULT,public,107.9
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352410E,ECOLE PRIMAIRE PRIVEE ST JEAN BOSCO,35238,RENNES,privé sous contrat,92.8
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352432D,ECOLE PRIMAIRE PUBLIQUE MARIE PAPE CARPANTIER,35238,RENNES,public,115.8
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352517W,ECOLE PRIMAIRE PRIVEE NOTRE DAME DES MIRACLES,35238,RENNES,privé sous contrat,118.8
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352521A,ECOLE ELEMENTAIRE PUBLIQUE LES DEUX RUISSEAUX,35055,CHANTEPIE,public,111.3
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352536S,ECOLE PRIMAIRE PUBLIQUE LES MEZIERES,35024,BETTON,public,116.8
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352667J,ECOLE ELEMENTAIRE PUBLIQUE ILLE,35238,RENNES,public,111.2
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352669L,ECOLE ELEMENTAIRE PUBLIQUE PASCAL LAFAYE,35238,RENNES,public,82.9
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350174Z,ECOLE ELEMENTAIRE PUBLIQUE GEORGES MARTINAIS,35059,LA CHAPELLE DES FOUGERETZ,public,119.4
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350395P,ECOLE PRIMAIRE PUBLIQUE LA FONTAINE,35216,PARTHENAY DE BRETAGNE,public,114.7
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350552K,ECOLE PRIMAIRE PUBLIQUE NIKI DE SAINT PHALLE,35315,SAINT SULPICE LA FORET,public,132.2
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350607V,ECOLE PRIMAIRE PUBLIQUE MAUCONSEIL,35238,RENNES,public,120.9
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350612A,ECOLE ELEMENTAIRE PUBLIQUE JEAN ZAY,35238,RENNES,public,137.6
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350632X,ECOLE ELEMENTAIRE PUBLIQUE COLOMBIER,35238,RENNES,public,90.1
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350635A,ECOLE ELEMENTAIRE PUBLIQUE POTERIE,35238,RENNES,public,120.2
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351182V,ECOLE ELEMENTAIRE PRIVEE NOTRE DAME,35022,BECHEREL,privé sous contrat,105.8
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351197L,ECOLE PRIMAIRE PRIVEE L ARCHE DE NOE,35032,BOURGBARRE,privé sous contrat,127.6
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350197Z,ECOLE PRIMAIRE PUBLIQUE DE CLAYES,35081,CLAYES,public,111.0
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350445U,ECOLE PRIMAIRE PUBLIQUE LES BOSCHAUX,35250,SAINT ARMEL,public,114.9
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350596H,ECOLE ELEMENTAIRE PUBLIQUE OSCAR LEROUX,35238,RENNES,public,106.5
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350639E,ECOLE ELEMENTAIRE PUBLIQUE VILLENEUVE,35238,RENNES,public,141.1
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350671P,ECOLE PRIMAIRE PUBLIQUE DE LA VALLEE DU ROHUEL,35351,LE VERGER,public,117.0
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352362C,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35051,CESSON SEVIGNE,privé sous contrat,139.2
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352391J,ECOLE PRIMAIRE PUBLIQUE EUGENE POTTIER,35281,SAINT JACQUES DE LA LANDE,public,101.0
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352485L,ECOLE PRIMAIRE PRIVEE L IMMACULEE,35196,MORDELLES,privé sous contrat,114.2
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350195X,ECOLE PRIMAIRE PUBLIQUE JULES VERNE,35079,CHEVAIGNE,public,133.0
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350208L,ECOLE PRIMAIRE PUBLIQUE JACQUES YVES COUSTEAU,35088,CORPS NUDS,public,118.0
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350296G,ECOLE ELEMENTAIRE PUBLIQUE LE CHAT PERCHE,35136,JANZE,public,105.1
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350467T,ECOLE PRIMAIRE PUBLIQUE LUCIE AUBRAC,35363,PONT PEAN,public,117.5
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350593E,ECOLE ELEMENTAIRE PUBLIQUE ALBERT DE MUN,35238,RENNES,public,137.1
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350594F,ECOLE ELEMENTAIRE PUBLIQUE CHAMPION DE CICE,35238,RENNES,public,95.8
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350596H,ECOLE ELEMENTAIRE PUBLIQUE OSCAR LEROUX,35238,RENNES,public,111.2
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350607V,ECOLE PRIMAIRE PUBLIQUE MAUCONSEIL,35238,RENNES,public,114.8
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350615D,ECOLE ELEMENTAIRE PUBLIQUE PAUL LANGEVIN,35238,RENNES,public,109.4
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350624N,ECOLE ELEMENTAIRE PUBLIQUE CONTOUR SAINT AUBIN,35238,RENNES,public,132.4
2017-2018,RENNES,035,ILLE-ET-VILAINE,0350627S,ECOLE ELEMENTAIRE PUBLIQUE DUCHESSE ANNE,35238,RENNES,public,133.3
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351059L,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35135,IRODOUER,privé sous contrat,111.9
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351151L,ECOLE PRIMAIRE PRIVEE LE SACRE COEUR,35208,ORGERES,privé sous contrat,123.5
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351197L,ECOLE PRIMAIRE PRIVEE L ARCHE DE NOE,35032,BOURGBARRE,privé sous contrat,123.0
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351213D,ECOLE PRIMAIRE PRIVEE LA PROVIDENCE VERT BUISSON,35047,BRUZ,privé sous contrat,127.2
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351214E,ECOLE PRIMAIRE PRIVEE LA PROVIDENCE CENTRE,35047,BRUZ,privé sous contrat,130.8
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351230X,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35059,LA CHAPELLE DES FOUGERETZ,privé sous contrat,130.4
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351245N,ECOLE PRIMAIRE PRIVEE ST AMAND,35206,NOYAL CHATILLON SUR SEICHE,privé sous contrat,125.1
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351253X,ECOLE PRIMAIRE PRIVEE STE THERESE,35079,CHEVAIGNE,privé sous contrat,128.7
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351254Y,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35080,CINTRE,privé sous contrat,116.8
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351504V,ECOLE PRIMAIRE PRIVEE ADORATION,35238,RENNES,privé sous contrat,122.2
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351522P,ECOLE PRIMAIRE PRIVEE ST JEAN STE THERESE,35238,RENNES,privé sous contrat,131.3
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351736X,ECOLE PRIMAIRE PRIVEE STE MARIE,35120,GEVEZE,privé sous contrat,128.1
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351862J,ECOLE ELEMENTAIRE PUBLIQUE LES GRAINS D ORGE,35208,ORGERES,public,116.4
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352056V,ECOLE PRIMAIRE PUBLIQUE LE CHENE CENTENAIRE,35204,NOUVOITOU,public,123.6
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352199A,ECOLE ELEMENTAIRE PUBLIQUE GUILLEVIC,35238,RENNES,public,72.0
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352209L,ECOLE PRIMAIRE PUBLIQUE TREGAIN,35238,RENNES,public,65.4
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352241W,ECOLE PRIMAIRE PUBLIQUE JACQUES PREVERT,35047,BRUZ,public,118.9
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352258P,ECOLE ELEMENTAIRE PUBLIQUE VOLGA,35238,RENNES,public,83.8
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352324L,ECOLE ELEMENTAIRE PUBLIQUE LE CLOS JOURY,35240,LE RHEU,public,125.4
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352329S,ECOLE ELEMENTAIRE PUBLIQUE LA GABILLAIS,35240,LE RHEU,public,123.8
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350196Y,ECOLE PRIMAIRE PUBLIQUE ARC EN CIEL,35080,CINTRE,public,120.9
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350266Z,ECOLE ELEMENTAIRE PUBLIQUE LEONARD DE VINCI,35120,GEVEZE,public,122.6
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350288Y,ECOLE PRIMAIRE PUBLIQUE LE LONG SILLON,35132,HIREL,public,92.0
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350430C,ECOLE PRIMAIRE PUBLIQUE MOIGNE,35240,LE RHEU,public,120.8
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350483K,ECOLE ELEMENTAIRE PUBLIQUE PAUL EMILE VICTOR,35278,SAINT GREGOIRE,public,131.2
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350602P,ECOLE ELEMENTAIRE PUBLIQUE MARCEL PAGNOL,35238,RENNES,public,112.9
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350619H,ECOLE ELEMENTAIRE PUBLIQUE CHATEAUGIRON LANDRY,35238,RENNES,public,118.2
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350626R,ECOLE ELEMENTAIRE PUBLIQUE CAMILLE CLAUDEL,35238,RENNES,public,132.7
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352308U,ECOLE PRIMAIRE PRIVEE MARCEL CALLO,35238,RENNES,privé sous contrat,140.0
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352353T,ECOLE PRIMAIRE PUBLIQUE LE HAUT CHEMIN,35210,PACE,public,126.9
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352358Y,ECOLE PRIMAIRE PRIVEE STE JEANNE D ARC,35001,ACIGNE,privé sous contrat,122.3
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352363D,ECOLE PRIMAIRE PRIVEE LE SACRE COEUR,35136,JANZE,privé sous contrat,116.2
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352386D,ECOLE ELEMENTAIRE PUBLIQUE NOËL DU FAIL,35352,VERN SUR SEICHE,public,122.0
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352391J,ECOLE PRIMAIRE PUBLIQUE EUGENE POTTIER,35281,SAINT JACQUES DE LA LANDE,public,99.1
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352407B,ECOLE PRIMAIRE PRIVEE STE ANNE,35076,CHAVAGNE,privé sous contrat,116.5
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352432D,ECOLE PRIMAIRE PUBLIQUE MARIE PAPE CARPANTIER,35238,RENNES,public,113.6
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352517W,ECOLE PRIMAIRE PRIVEE NOTRE DAME DES MIRACLES,35238,RENNES,privé sous contrat,126.9
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352521A,ECOLE ELEMENTAIRE PUBLIQUE LES DEUX RUISSEAUX,35055,CHANTEPIE,public,106.7
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352536S,ECOLE PRIMAIRE PUBLIQUE LES MEZIERES,35024,BETTON,public,114.4
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351245N,ECOLE PRIMAIRE PRIVEE ST AMAND,35206,NOYAL CHATILLON SUR SEICHE,privé sous contrat,128.5
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351494J,ECOLE PRIMAIRE PRIVEE NOTRE DAME DU VIEUX COURS,35238,RENNES,privé sous contrat,130.7
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351498N,ECOLE PRIMAIRE PRIVEE ST MICHEL,35238,RENNES,privé sous contrat,131.0
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351522P,ECOLE PRIMAIRE PRIVEE ST JEAN STE THERESE,35238,RENNES,privé sous contrat,131.2
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351736X,ECOLE PRIMAIRE PRIVEE STE MARIE,35120,GEVEZE,privé sous contrat,131.1
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352245A,ECOLE PRIMAIRE PRIVEE STE ANNE,35235,RANNEE,privé sous contrat,101.3
2019-2020,RENNES,035,ILLE-ET-VILAINE,0352362C,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35051,CESSON SEVIGNE,privé sous contrat,136.4
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350192U,ECOLE ELEMENTAIRE PUBLIQUE DE CHAVAGNE,35076,CHAVAGNE,public,116.1
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350196Y,ECOLE PRIMAIRE PUBLIQUE ARC EN CIEL,35080,CINTRE,public,121.9
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350296G,ECOLE ELEMENTAIRE PUBLIQUE LE CHAT PERCHE,35136,JANZE,public,107.2
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350430C,ECOLE PRIMAIRE PUBLIQUE MOIGNE,35240,LE RHEU,public,125.0
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350445U,ECOLE PRIMAIRE PUBLIQUE LES BOSCHAUX,35250,SAINT ARMEL,public,118.6
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350594F,ECOLE ELEMENTAIRE PUBLIQUE CHAMPION DE CICE,35238,RENNES,public,97.8
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350627S,ECOLE ELEMENTAIRE PUBLIQUE DUCHESSE ANNE,35238,RENNES,public,131.7
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350671P,ECOLE PRIMAIRE PUBLIQUE DE LA VALLEE DU ROHUEL,35351,LE VERGER,public,119.5
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351214E,ECOLE PRIMAIRE PRIVEE LA PROVIDENCE CENTRE,35047,BRUZ,privé sous contrat,130.8
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351230X,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35059,LA CHAPELLE DES FOUGERETZ,privé sous contrat,127.3
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351245N,ECOLE PRIMAIRE PRIVEE ST AMAND,35206,NOYAL CHATILLON SUR SEICHE,privé sous contrat,125.2
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351254Y,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35080,CINTRE,privé sous contrat,117.8
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351492G,ECOLE PRIMAIRE PRIVEE ST CLEMENT,35238,RENNES,privé sous contrat,111.2
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351504V,ECOLE PRIMAIRE PRIVEE ADORATION,35238,RENNES,privé sous contrat,120.1
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351516H,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35238,RENNES,privé sous contrat,123.9
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351522P,ECOLE PRIMAIRE PRIVEE ST JEAN STE THERESE,35238,RENNES,privé sous contrat,130.7
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351859F,ECOLE ELEMENTAIRE PUBLIQUE BEAUSOLEIL,35051,CESSON SEVIGNE,public,134.4
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351989X,ECOLE ELEMENTAIRE PUBLIQUE JULES ISAAC,35238,RENNES,public,123.6
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352038A,ECOLE ELEMENTAIRE PUBLIQUE LE GRETAY,35196,MORDELLES,public,123.1
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352407B,ECOLE PRIMAIRE PRIVEE STE ANNE,35076,CHAVAGNE,privé sous contrat,112.8
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352411F,ECOLE PRIMAIRE PRIVEE ST YVES,35238,RENNES,privé sous contrat,133.0
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352437J,ECOLE PRIMAIRE PUBLIQUE SUZANNE LACORE,35281,SAINT JACQUES DE LA LANDE,public,99.8
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352521A,ECOLE ELEMENTAIRE PUBLIQUE LES DEUX RUISSEAUX,35055,CHANTEPIE,public,113.1
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352667J,ECOLE ELEMENTAIRE PUBLIQUE ILLE,35238,RENNES,public,105.8
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351213D,ECOLE PRIMAIRE PRIVEE LA PROVIDENCE VERT BUISSON,35047,BRUZ,privé sous contrat,124.1
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351230X,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35059,LA CHAPELLE DES FOUGERETZ,privé sous contrat,126.4
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351267M,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35088,CORPS NUDS,privé sous contrat,124.9
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351349B,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35131,L HERMITAGE,privé sous contrat,112.1
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351502T,ECOLE PRIMAIRE PRIVEE ST VINCENT PROVIDENCE,35238,RENNES,privé sous contrat,145.8
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351504V,ECOLE PRIMAIRE PRIVEE ADORATION,35238,RENNES,privé sous contrat,123.8
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351512D,ECOLE PRIMAIRE PRIVEE STE JEANNE D ARC,35238,RENNES,privé sous contrat,137.0
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351686T,ECOLE PRIMAIRE PUBLIQUE FRANCOISE DOLTO,35032,BOURGBARRE,public,117.2
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351699G,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35055,CHANTEPIE,privé sous contrat,123.0
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351707R,ECOLE PRIMAIRE PRIVEE ST MARTIN,35204,NOUVOITOU,privé sous contrat,110.5
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351714Y,ECOLE PRIMAIRE PRIVEE ST ARMEL,35238,RENNES,privé sous contrat,77.8
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351765D,ECOLE ELEMENTAIRE PUBLIQUE LES GRANDS PRES VERTS,35334,THORIGNE FOUILLARD,public,128.9
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351806Y,ECOLE ELEMENTAIRE PUBLIQUE LES OMBLAIS,35024,BETTON,public,129.4
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352055U,ECOLE ELEMENTAIRE PUBLIQUE LOUISE MICHEL,35238,RENNES,public,121.9
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352096N,ECOLE ELEMENTAIRE PUBLIQUE MONTAUBERT,35150,LECOUSSE,public,111.6
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352150X,ECOLE ELEMENTAIRE PUBLIQUE TORIGNE,35238,RENNES,public,71.3
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352187M,ECOLE ELEMENTAIRE PUBLIQUE CLEMENCEAU,35238,RENNES,public,84.1
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352258P,ECOLE ELEMENTAIRE PUBLIQUE VOLGA,35238,RENNES,public,83.6
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352377U,ECOLE PRIMAIRE PRIVEE STE ANNE ST JOSEPH,35210,PACE,privé sous contrat,133.0
