SIREN,Nom ou raison sociale de l'entreprise,Famille juridique de l'entreprise,Code postal,Libellé de la commune de l'établissement,Code du département de l'établissement,Département de l'établissement,Région de l'établissement
503633034,LE TWIST KOMINTERN,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
300205119,ASS DEVELOPPEMENT SCIENCES DE GESTION,Associations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
797776002,GACET ONE ASSOCIATION,Associations,35200,RENNES,35,ILLE ET VILAINE,BRETAGNE
797776317,CLUB PHOTO VIDEO,Associations,35132,VEZIN-LE-COQUET,35,ILLE ET VILAINE,BRETAGNE
518189600,US VERN BADMINTON,Associations,35770,VERN-SUR-SEICHE,35,ILLE ET VILAINE,BRETAGNE
515257574,ACADEMIE RENNAISE AIKIRYU ET ARTS DU GESTE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
824216683,MEMOIRE DU FUTUR DE L'EUROPE,Associations,35690,ACIGNE,35,ILLE ET VILAINE,BRETAGNE
840338222,ATELIER COUTURE,Associations,35235,THORIGNE-FOUILLARD,35,ILLE ET VILAINE,BRETAGNE
853652600,"ASSOCIATION NATIONALE POUR UNE SOCIETE SOLIDAIRE, ACTIVE ET BIENVEILLANTE",Associations,35770,VERN-SUR-SEICHE,35,ILLE ET VILAINE,BRETAGNE
339296675,ASS SPORTIVE DE CHANTEPIE,Associations,35135,CHANTEPIE,35,ILLE ET VILAINE,BRETAGNE
790566160,COMPAGNIE ROUE LIBRE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
398169656,ASS POUR L'INSERTION,Associations,35690,ACIGNE,35,ILLE ET VILAINE,BRETAGNE
515259711,US VERN TIR A L'ARC,Associations,35770,VERN-SUR-SEICHE,35,ILLE ET VILAINE,BRETAGNE
410476451,UNION SPORT EDUCATION NATIONALE RENNES,Associations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
881113393,NUMBERS INTO NAMES,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
398170654,ASSOCIATION ATIG,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
881114649,A.P.E.L. SAINT JOSEPH,Associations,35170,BRUZ,35,ILLE ET VILAINE,BRETAGNE
903771103,ARTILLE'RENNES,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
420502056,LES TROUBAQUOI ?,Associations,35132,VEZIN-LE-COQUET,35,ILLE ET VILAINE,BRETAGNE
520543653,ASSOCIATION SOLIDARITE FRANCE TCHAD,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
750558819,BUREAU DES ELEVES ET DES ETUDIANTS DE L EHESP,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
800905374,AMICALE DU PALET BRECEEN,Associations,35530,BRECE,35,ILLE ET VILAINE,BRETAGNE
923424634,SPORTINEO,Associations,35740,PACE,35,ILLE ET VILAINE,BRETAGNE
481816486,POURQUOI PAS,Associations,35700,RENNES,35,ILLE ET VILAINE,BRETAGNE
840369979,LE REVE D'UNE PRINCESSE,Associations,35200,RENNES,35,ILLE ET VILAINE,BRETAGNE
922862867,ARGONAUTES RENNES 2,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
844076620,MEDIASEEDS,Associations,35850,ROMILLE,35,ILLE ET VILAINE,BRETAGNE
481045664,ENSEMBLE VOCAL ET INSTRUMENTAL LE THABOR,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
404963183,ASS DES AMIS DU MUSEE BEAUX ARTS RENNES,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
449885896,ASS SPORTIVE SAINT JACQUES FOOT,Associations,35136,SAINT-JACQUES-DE-LA-LANDE,35,ILLE ET VILAINE,BRETAGNE
481045896,ECHOTONE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
449886472,ASS DU GUIDE ACCESSIBLE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
532835279,L'ATELIER L'IMPRIMERIE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
813425527,DIATOSPHERE,Associations,35000,RENNES,35,ILLE ET VILAINE,BRETAGNE
