date_mesure,geocode_commune,libelle_commune,type_eau,usage,valeur
2008-01-01,35139,Laillé,eaux douces superficielles,eau potable,0.0
2008-01-01,35139,Laillé,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35139,Laillé,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35139,Laillé,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35144,Langan,eaux douces souterraines,agriculture,0.0
2008-01-01,35144,Langan,eaux douces souterraines,eau potable,0.0
2008-01-01,35144,Langan,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35144,Langan,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35144,Langan,eaux douces superficielles,agriculture,0.0
2008-01-01,35144,Langan,eaux douces superficielles,eau potable,0.0
2008-01-01,35144,Langan,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35144,Langan,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35144,Langan,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35150,Lécousse,eaux douces souterraines,agriculture,0.0
2008-01-01,35150,Lécousse,eaux douces souterraines,eau potable,49300.0
2008-01-01,35150,Lécousse,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35150,Lécousse,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35150,Lécousse,eaux douces superficielles,agriculture,0.0
2008-01-01,35150,Lécousse,eaux douces superficielles,eau potable,0.0
2008-01-01,35150,Lécousse,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35150,Lécousse,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35150,Lécousse,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35160,Loutehel,eaux douces souterraines,agriculture,0.0
2008-01-01,35160,Loutehel,eaux douces souterraines,eau potable,0.0
2008-01-01,35160,Loutehel,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35160,Loutehel,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35160,Loutehel,eaux douces superficielles,agriculture,0.0
2008-01-01,35160,Loutehel,eaux douces superficielles,eau potable,0.0
2008-01-01,35160,Loutehel,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35160,Loutehel,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35160,Loutehel,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35170,Mecé,eaux douces souterraines,agriculture,0.0
2008-01-01,35170,Mecé,eaux douces souterraines,eau potable,0.0
2008-01-01,35170,Mecé,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35170,Mecé,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35170,Mecé,eaux douces superficielles,agriculture,0.0
2008-01-01,35170,Mecé,eaux douces superficielles,eau potable,0.0
2008-01-01,35170,Mecé,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35170,Mecé,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35170,Mecé,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35180,Miniac-sous-Bécherel,eaux douces souterraines,agriculture,0.0
2008-01-01,35180,Miniac-sous-Bécherel,eaux douces souterraines,eau potable,0.0
2008-01-01,35180,Miniac-sous-Bécherel,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35180,Miniac-sous-Bécherel,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35180,Miniac-sous-Bécherel,eaux douces superficielles,agriculture,0.0
2008-01-01,35180,Miniac-sous-Bécherel,eaux douces superficielles,eau potable,0.0
2008-01-01,35180,Miniac-sous-Bécherel,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35180,Miniac-sous-Bécherel,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35180,Miniac-sous-Bécherel,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35189,Montgermont,eaux douces souterraines,agriculture,0.0
2008-01-01,35189,Montgermont,eaux douces souterraines,eau potable,0.0
2008-01-01,35189,Montgermont,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35189,Montgermont,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35189,Montgermont,eaux douces superficielles,agriculture,0.0
2008-01-01,35189,Montgermont,eaux douces superficielles,eau potable,0.0
2008-01-01,35189,Montgermont,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35189,Montgermont,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35189,Montgermont,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35190,Monthault,eaux douces souterraines,agriculture,0.0
2008-01-01,35190,Monthault,eaux douces souterraines,eau potable,0.0
2008-01-01,35190,Monthault,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35190,Monthault,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35190,Monthault,eaux douces superficielles,agriculture,0.0
2008-01-01,35190,Monthault,eaux douces superficielles,eau potable,0.0
2008-01-01,35190,Monthault,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35190,Monthault,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35190,Monthault,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35196,Mordelles,eaux douces souterraines,agriculture,0.0
2008-01-01,35196,Mordelles,eaux douces souterraines,eau potable,0.0
2008-01-01,35196,Mordelles,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35196,Mordelles,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35196,Mordelles,eaux douces superficielles,agriculture,0.0
2008-01-01,35196,Mordelles,eaux douces superficielles,eau potable,0.0
2008-01-01,35196,Mordelles,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35196,Mordelles,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35196,Mordelles,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35200,Moutiers,eaux douces souterraines,agriculture,0.0
2008-01-01,35200,Moutiers,eaux douces souterraines,eau potable,0.0
2008-01-01,35200,Moutiers,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35200,Moutiers,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35200,Moutiers,eaux douces superficielles,agriculture,17100.0
2008-01-01,35200,Moutiers,eaux douces superficielles,eau potable,0.0
2008-01-01,35200,Moutiers,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35200,Moutiers,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35200,Moutiers,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35204,Nouvoitou,eaux douces souterraines,agriculture,0.0
2008-01-01,35204,Nouvoitou,eaux douces souterraines,eau potable,0.0
2008-01-01,35204,Nouvoitou,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35204,Nouvoitou,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35204,Nouvoitou,eaux douces superficielles,agriculture,39000.0
2008-01-01,35204,Nouvoitou,eaux douces superficielles,eau potable,0.0
2008-01-01,35204,Nouvoitou,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35204,Nouvoitou,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35204,Nouvoitou,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35206,Noyal-Châtillon-sur-Seiche,eaux douces souterraines,agriculture,0.0
2008-01-01,35206,Noyal-Châtillon-sur-Seiche,eaux douces souterraines,eau potable,0.0
2008-01-01,35206,Noyal-Châtillon-sur-Seiche,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35206,Noyal-Châtillon-sur-Seiche,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35206,Noyal-Châtillon-sur-Seiche,eaux douces superficielles,agriculture,0.0
2008-01-01,35206,Noyal-Châtillon-sur-Seiche,eaux douces superficielles,eau potable,0.0
2008-01-01,35206,Noyal-Châtillon-sur-Seiche,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35206,Noyal-Châtillon-sur-Seiche,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35206,Noyal-Châtillon-sur-Seiche,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35208,Orgères,eaux douces souterraines,agriculture,20000.0
2008-01-01,35208,Orgères,eaux douces souterraines,eau potable,0.0
2008-01-01,35208,Orgères,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35208,Orgères,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35208,Orgères,eaux douces superficielles,agriculture,0.0
2008-01-01,35208,Orgères,eaux douces superficielles,eau potable,0.0
2008-01-01,35208,Orgères,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35208,Orgères,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35208,Orgères,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35210,Pacé,eaux douces souterraines,agriculture,0.0
2008-01-01,35210,Pacé,eaux douces souterraines,eau potable,0.0
2008-01-01,35210,Pacé,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35210,Pacé,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35210,Pacé,eaux douces superficielles,agriculture,0.0
2008-01-01,35210,Pacé,eaux douces superficielles,eau potable,0.0
2008-01-01,35210,Pacé,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35210,Pacé,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35210,Pacé,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35216,Parthenay-de-Bretagne,eaux douces souterraines,agriculture,0.0
2008-01-01,35216,Parthenay-de-Bretagne,eaux douces souterraines,eau potable,0.0
2008-01-01,35216,Parthenay-de-Bretagne,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35216,Parthenay-de-Bretagne,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35216,Parthenay-de-Bretagne,eaux douces superficielles,agriculture,0.0
