Barreau,avNom,avPrenom,cbRaisonSociale,cbSiretSiren,cbAdresse1,cbAdresse2,cbCp,cbVille,spLibelle1,spLibelle2,spLibelle3,acDateSerment,AvLang
RENNES,COMMON,Mathilde,AD LEGIS,493270128,2 rue Ferdinand,,35000,RENNES,,,,,Français
RENNES,CONNAN,Noémie,CONNAN NOÉMIE,930607817,8 place du Colombier,,35000,RENNES,,,,,"Anglais,Français"
RENNES,COQUENTIN,Pierre,COQUENTIN PIERRE,437592264,74 A rue de Paris,,35000,RENNES,Droit fiscal et droit douanier,,,,"Anglais,Français"
RENNES,CORBEAU,Annabelle,GBA,493675904,24 mail François Mitterrand,,35000,RENNES,,,,,"Anglais,Français"
RENNES,CORDIER,Marie-Charlotte,THOMAS & ASSOCIES,979818036,12 quai Duguay Trouin,,35000,RENNES,,,,,Français
RENNES,CORGAS,Cristina,CRISTINA CORGAS,799059951,14 bis rue Dupont des Loges,,35000,RENNES,,,,,"Français,Portugais"
RENNES,CORILLION,Rachel,PODIUM,829769306,1 contour de la Motte,,35000,RENNES,,,,,Français
RENNES,CORNILLET,Gabriel,CORNILLET GABRIEL,931013247,12-14 Rue Claude Bernard,,35000,RENNES,,,,,"Anglais,Français"
RENNES,COTTAIS,Johanna,COTTAIS JOHANNA,908558372,2 rue de Rohan,,35000,RENNES,,,,,"Anglais,Français"
RENNES,COTTEBRUNE,Armelle,SOCIETE D'AVOCATS ARMELLE COTTEBRUNE,812711935,2 avenue Charles Tillon,,35000,RENNES,,,,,Français
RENNES,COTTEREAU,Amélie,COTTEREAU AMÉLIE,982483406,88 rue Saint-Hélier,,35000,RENNES,,,,,"Anglais,Français"
RENNES,COUGOULAT,Erwann,COUGOULAT ERWANN,440669877,8 rue du Sapeur Michel Jouan,,35000,RENNES,,,,,"Anglais,Français"
RENNES,COURTEAU,Juliette,COURTEAU JULIETTE,931903405,13 rue de la Monnaie,,35000,RENNES,,,,,Français
RENNES,COURTIAL,Romain,AKER,844612754,16 rue du Père Grignion,,35000,RENNES,,,,,"Anglais,Français"
RENNES,COUSIN,Arnaud,COUSIN ARNAUD,429772940,15 rue du Puits Mauger,,35000,RENNES,,,,,"Anglais,Français"
RENNES,COUSIN,Maud,COUSIN MAUD,930828793,4 quai de Richemont,,35000,RENNES,,,,,Français
RENNES,CROIX,Alexis,A-LEX AVOCAT,838839959,105 avenue Henri Fréville,,35200,RENNES,,,,,Français
RENNES,CUMIN,Anne,CUMIN ANNE,817835325,2 rue Abbé Besnard,,35830,BETTON,,,,,"Anglais,Français"
RENNES,CUNY,Marine,CUNY MARINE,985165232,24 rue Raoul Dautry,,35000,RENNES,,,,,"Anglais,Français"
RENNES,DAGORN,Myriam,DAGORN MYRIAM,478176209,19 rue Hoche,,35000,RENNES,,,,,"Anglais,Français"
RENNES,DAHI,Sonia,DAHI SONIA,839933520,8 rue du Sapeur Michel Jouan,,35000,RENNES,,,,,"Anglais,Français"
