Dispositif,Type de structure,Année d'agrément,Type,Désignation,Sigle,Activité,Localisation,Début d'agrément,Fin d'agrément,Numéro SIREN,Base SIRENE : Catégorie de l'établissement siège,Base SIRENE : Code APE de l'établissement siège,Base SIRENE : Activité principale exercée (APE) par l'établissement siège,Code postal,Ville,Téléphone,Lien vers la fiche scanR,Commune,Unité urbaine,Département,Académie,Région,Pays,Code commune (France),Code de l'unité urbaine (France),Code du département (France),Code de l'académie (France),Code de la région (France),Code ISO du Pays,Géolocalisation,type
CII,Organismes privés agréés,"2017,2018,2019",Organisme,METRIXWARE ENGINEERING,,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Cesson-Sévigné,2017,2019,513061416,PME,6201Z,Programmation informatique,35510,CESSON SEVIGNE,,,Cesson-Sévigné,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35051,UU35701,D035,A14,R53,FR,"48.1202268032, -1.59714447272",OPA
CII,Organismes privés agréés,"2017,2018,2019,2020,2021",Organisme,SODALEC,SODALEC,Electronique,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Pacé,2017,2021,424381374,PME,2612Z,Fabrication de cartes électroniques assemblées,35740,PACE,,,Pacé,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35210,UU35701,D035,A14,R53,FR,"48.152548244, -1.77716643787",OPA
CII,Organismes privés agréés,"2017,2018,2019,2020,2021",Organisme,6TM GROUP,,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Vern-sur-Seiche,2017,2021,417954740,PME,6202A,Conseil en systèmes et logiciels informatiques,35770,VERN SUR SEICHE,,,Vern-sur-Seiche,Vern-sur-Seiche,Ille-et-Vilaine,Rennes,Bretagne,France,35352,UU35219,D035,A14,R53,FR,"48.0525245014, -1.60521106164",OPA
CII,Organismes privés agréés,"2018,2019,2020,2021,2022",Organisme,LUNAWEB,,Télécommunications,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2018,2022,477840953,PME,6201Z,Programmation informatique,35000,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2019,2020,2021",Organisme,TILOG CONSULTING,TILOG,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Pacé,2019,2021,530127505,PME,6202A,Conseil en systèmes et logiciels informatiques,35740,PACE,,,Pacé,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35210,UU35701,D035,A14,R53,FR,"48.152548244, -1.77716643787",OPA
CII,Organismes privés agréés,"2019,2020,2021",Organisme,DILEPIX,,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2019,2021,838273357,Non renseignée,6201Z,Programmation informatique,35000,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2019,2020,2021,2022,2023",Organisme,WIJIN,,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Cesson-Sévigné,2019,2023,841532773,Non renseignée,6202A,Conseil en systèmes et logiciels informatiques,35510,CESSON SEVIGNE,,,Cesson-Sévigné,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35051,UU35701,D035,A14,R53,FR,"48.1202268032, -1.59714447272",OPA
CII,Organismes privés agréés,"2021,2022,2023",Organisme,KEREVAL,kereval,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Thorigné-Fouillard,2021,2023,442789210,PME,6202A,Conseil en systèmes et logiciels informatiques,35235,THORIGNE FOUILLARD,,,Thorigné-Fouillard,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35334,UU35701,D035,A14,R53,FR,"48.1566082899, -1.58409867633",OPA
CII,Organismes privés agréés,"2021,2022,2023,2024,2025",Organisme,SARL DEV MACHINE,,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Cesson-Sévigné,2021,2025,844646463,,,,35510,CESSON SEVIGNE,,,Cesson-Sévigné,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35051,UU35701,D035,A14,R53,FR,"48.1202268032, -1.59714447272",OPA
CII,Organismes privés agréés,"2023,2024",Organisme,SATT OUEST VALORISATION,SAS,Tous champs d'activités (hors Textile-habillment-cuir).,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2023,2024,753000611,PME,7490B,"Activités spécialisées, scientifiques et techniques diverses",35700,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2023,2024",Organisme,KASTOR SOLUTIONS - CHRISTOPHE CAZETTES,,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Noyal-Châtillon-sur-Seiche,2023,2024,510243603,,,,35230,NOYAL CHATILLON SUR SEICHE,,,Noyal-Châtillon-sur-Seiche,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35206,UU35701,D035,A14,R53,FR,"48.052319685, -1.662728532",OPA
CII,Organismes privés agréés,"2023,2024,2025",Organisme,YXIA,,Sciences Agronomiques et alimentaires,Bretagne>Rennes>Ille-et-Vilaine>Saint-Gilles,2023,2025,333708949,,,,35590,SAINT GILLES,,,Saint-Gilles,Saint-Gilles,Ille-et-Vilaine,Rennes,Bretagne,France,35275,UU35132,D035,A14,R53,FR,"48.1520929859, -1.85374690386",OPA
CII,Organismes privés agréés,"2023,2024,2025",Organisme,PRISTINE ROBOTICS,,Automatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2023,2025,881922827,,,,35000,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2025,2026,2027",Organisme,SCIENSORIA,,Génie électronique,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Bruz,2025,2027,428837256,,,,35170,BRUZ,,,Bruz,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35047,UU35701,D035,A14,R53,FR,"48.0261755313, -1.74817480915",OPA
CII,Organismes privés agréés,"2025,2026,2027",Organisme,SINGULARR,,Sciences médicales,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2025,2027,941037848,,,,35000,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
