code_insee,nom,code_commune,est_une_commune,proportion_diplomes_master,revenu_net_median_par_uc,population_politique,population_totale,region_sociale,pixel,ordonnee_dans_le_carre,abcisse_dans_le_carre
352380201,Jules Ferry,35238,0,0.472109533,32580,2567,3107,A1,91,0.96521236863646,0.10352823045051
352380202,Les Mottais,35238,0,0.435643564,39420,2965,3800,A2,95,0.97563265962873,0.4989897717326
352380203,Jean Macé,35238,0,0.415309446,38590,1885,2206,A2,95,0.97161200708144,0.5165904020323
352380204,Paris Ouest Martenot,35238,0,0.466461063,30330,1635,2142,A1,91,0.95849654512371,0.061661625710662
352380205,Paris Est,35238,0,0.405275779,29160,1753,2162,A1,92,0.94201733974212,0.11994761291851
352380206,Oberthur,35238,0,0.32118451,25820,2083,2786,A1,92,0.89748480390778,0.18264663822922
352380207,Saint-Hélier,35238,0,0.339013452,25790,2930,3535,A1,92,0.90441506138697,0.14571562614879
352380208,Laennec-Dupont des Loges,35238,0,0.365815324,27720,3095,3752,A1,92,0.92532965747377,0.15799706850466
352380209,Alphonse Guérin,35238,0,0.343887423,24290,2785,3488,A1,91,0.89602657350825,0.088233872779872
352380301,Mail,35238,0,0.270565552,25410,3847,4630,A1,82,0.86821438982134,0.1489523845365
352380302,Rue de Brest Ouest,35238,0,0.328866554,26100,2216,2563,A1,92,0.90207054294329,0.17357216527316
352380303,Rue de Brest Est,35238,0,0.339864355,27640,1634,1960,A1,92,0.91634134392637,0.2090898919822
352380304,La Touche,35238,0,0.22166943,22120,2185,2908,A1,71,0.76960195880485,0.060329727022421
352380305,Port Cahours,35238,0,0.248937462,26120,2046,2624,A1,82,0.86192996338758,0.20202862008298
352380306,Stade Rennais,35238,0,0.198857736,23320,2102,2759,A1,71,0.76636356487868,0.1092901860453
352380307,Champeaux,35238,0,0.063829787,0,219,256,,,,
352380308,Z.A. Ouest,35238,0,0,0,7,8,,,,
352380401,Jean Ogée,35238,0,0.385113268,29720,1339,1643,A1,92,0.9391958577854,0.18720126812088
352380402,Cimetière du Nord,35238,0,0.24751491,24670,3660,4626,A1,82,0.84308251575376,0.16421887495413
352380403,Z.A. Nord,35238,0,0.064864864,0,108,319,,,,
352380501,Emmanuel Mounier,35238,0,0.144970414,10910,1325,2043,C1,11,0.079807080079078,0.0040207257472995
