Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS,Ecart-type de l'IPS
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351638R,COLLEGE ANNE DE BRETAGNE,35238,RENNES,public,128.4,
2017-2018,RENNES,035,ILLE-ET-VILAINE,0351796M,COLLEGE EMILE ZOLA,35238,RENNES,public,121.0,
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350033W,COLLEGE LES ORMEAUX,35238,RENNES,public,130.8,41.2
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350759K,COLLEGE ECHANGE,35238,RENNES,public,117.9,44.6
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350780H,COLLEGE PRIVE IMMACULEE,35278,SAINT GREGOIRE,privé sous contrat,138.7,29.9
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350781J,COLLEGE PRIVE NOTRE DAME DU VIEUX COURS,35238,RENNES,privé sous contrat,130.3,35.0
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350866B,COLLEGE PRIVE SAINT JOSEPH,35136,JANZE,privé sous contrat,113.9,33.7
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350965J,COLLEGE LE LANDRY,35238,RENNES,public,113.9,44.5
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351852Y,COLLEGE DE FONTENAY,35066,CHARTRES DE BRETAGNE,public,111.7,39.7
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351906G,COLLEGE BOURGCHEVREUIL,35051,CESSON SEVIGNE,public,134.3,36.9
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352070K,COLLEGE PRIVE ASSOMPTION,35238,RENNES,privé sous contrat,141.1,31.5
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352274G,COLLEGE FRANCOISE DOLTO,35210,PACE,public,118.1,39.1
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352319F,COLLEGE PRIVE SAINT GABRIEL,35210,PACE,privé sous contrat,137.7,29.3
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352959B,COLLEGE MARIE CURIE,35139,LAILLE,public,124.8,34.4
2021-2022,RENNES,035,ILLE-ET-VILAINE,0353006C,COLLEGE PRIVE LEONTINE DOLIVET,35051,CESSON SEVIGNE,privé sous contrat,139.2,27.6
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350057X,COLLEGE JACQUES PREVERT,35245,ROMILLE,public,114.6,34.2
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350780H,COLLEGE PRIVE IMMACULEE,35278,SAINT GREGOIRE,privé sous contrat,137.7,30.7
