date_mesure,geocode_commune,libelle_commune,type_transport_en_commun,numerateur,denominateur,valeur
2025-01-01T00:00:00.000,35059,La Chapelle-des-Fougeretz,tramway,0.0,4603.0,0.0
2025-01-01T00:00:00.000,35081,Clayes,tramway,0.0,941.0,0.0
2025-01-01T00:00:00.000,35278,Saint-Grégoire,train,0.0,9992.0,0.0
2025-01-01T00:00:00.000,35250,Saint-Armel,tramway,0.0,2344.0,0.0
2025-01-01T00:00:00.000,35210,Pacé,tramway,0.0,11815.0,0.0
2025-01-01T00:00:00.000,35144,Langan,tramway,0.0,1090.0,0.0
2025-01-01T00:00:00.000,35353,Vezin-le-Coquet,tramway,0.0,6441.0,0.0
2025-01-01T00:00:00.000,35230,Poilley,train,0.0,380.0,0.0
2025-01-01T00:00:00.000,35245,Romillé,train,0.0,4154.0,0.0
2025-01-01T00:00:00.000,35352,Vern-sur-Seiche,tramway,0.0,8272.0,0.0
2025-01-01T00:00:00.000,35275,Saint-Gilles,tramway,0.0,5489.0,0.0
2025-01-01T00:00:00.000,35024,Betton,tramway,0.0,12775.0,0.0
2025-01-01T00:00:00.000,35278,Saint-Grégoire,tramway,0.0,9992.0,0.0
2025-01-01T00:00:00.000,35065,La Chapelle-Thouarault,tramway,0.0,2266.0,0.0
2025-01-01T00:00:00.000,35206,Noyal-Châtillon-sur-Seiche,train,0.0,7995.0,0.0
2025-01-01T00:00:00.000,35120,Gévezé,tramway,0.0,5987.0,0.0
2025-01-01T00:00:00.000,35022,Bécherel,train,0.0,685.0,0.0
2025-01-01T00:00:00.000,35310,Saint-Sauveur-des-Landes,train,0.0,1565.0,0.0
2025-01-01T00:00:00.000,35315,Saint-Sulpice-la-Forêt,train,0.0,1557.0,0.0
2025-01-01T00:00:00.000,35150,Lécousse,train,0.0,3423.0,0.0
2025-01-01T00:00:00.000,35001,Acigné,tramway,0.0,6911.0,0.0
2025-01-01T00:00:00.000,35200,Moutiers,train,0.0,905.0,0.0
2025-01-01T00:00:00.000,35131,L'Hermitage,train,1.0,4683.0,0.21353833013025839
2025-01-01T00:00:00.000,35065,La Chapelle-Thouarault,train,0.0,2266.0,0.0
2025-01-01T00:00:00.000,35281,Saint-Jacques-de-la-Lande,tramway,0.0,13593.0,0.0
2025-01-01T00:00:00.000,35266,Saint-Erblon,train,0.0,3615.0,0.0
2025-01-01T00:00:00.000,35189,Montgermont,tramway,0.0,3777.0,0.0
2025-01-01T00:00:00.000,35216,Parthenay-de-Bretagne,tramway,0.0,1802.0,0.0
2025-01-01T00:00:00.000,35136,Janzé,tramway,0.0,8618.0,0.0
2025-01-01T00:00:00.000,35081,Clayes,train,0.0,941.0,0.0
2025-01-01T00:00:00.000,35144,Langan,train,0.0,1090.0,0.0
2025-01-01T00:00:00.000,35352,Vern-sur-Seiche,train,1.0,8272.0,0.12088974854932302
2025-01-01T00:00:00.000,35160,Loutehel,train,0.0,235.0,0.0
2025-01-01T00:00:00.000,35135,Irodouër,train,0.0,2308.0,0.0
2025-01-01T00:00:00.000,35051,Cesson-Sévigné,train,1.0,18076.0,0.05532197388802833
2025-01-01T00:00:00.000,35206,Noyal-Châtillon-sur-Seiche,tramway,0.0,7995.0,0.0
2025-01-01T00:00:00.000,35250,Saint-Armel,train,1.0,2344.0,0.42662116040955633
2025-01-01T00:00:00.000,35240,Le Rheu,tramway,0.0,9823.0,0.0
2025-01-01T00:00:00.000,35058,La Chapelle-Chaussée,train,0.0,1299.0,0.0
2025-01-01T00:00:00.000,35088,Corps-Nuds,train,1.0,3555.0,0.2812939521800281
2025-01-01T00:00:00.000,35266,Saint-Erblon,tramway,0.0,3615.0,0.0
2025-01-01T00:00:00.000,35022,Bécherel,tramway,0.0,685.0,0.0
2025-01-01T00:00:00.000,35315,Saint-Sulpice-la-Forêt,tramway,0.0,1557.0,0.0
2025-01-01T00:00:00.000,35190,Monthault,tramway,0.0,250.0,0.0
2025-01-01T00:00:00.000,35076,Chavagne,tramway,0.0,4562.0,0.0
2025-01-01T00:00:00.000,35039,Brécé,train,0.0,2185.0,0.0
2025-01-01T00:00:00.000,35204,Nouvoitou,train,0.0,3732.0,0.0
2025-01-01T00:00:00.000,35079,Chevaigné,train,1.0,2396.0,0.41736227045075125
2025-01-01T00:00:00.000,35196,Mordelles,tramway,0.0,7831.0,0.0
2025-01-01T00:00:00.000,35351,Le Verger,tramway,0.0,1404.0,0.0
2025-01-01T00:00:00.000,35055,Chantepie,train,0.0,10378.0,0.0
2025-01-01T00:00:00.000,35240,Le Rheu,train,0.0,9823.0,0.0
2025-01-01T00:00:00.000,35208,Orgères,tramway,0.0,5602.0,0.0
2025-01-01T00:00:00.000,35238,Rennes,train,3.0,227830.0,0.013167712768292148
2025-01-01T00:00:00.000,35180,Miniac-sous-Bécherel,tramway,0.0,788.0,0.0
2025-01-01T00:00:00.000,35208,Orgères,train,0.0,5602.0,0.0
2025-01-01T00:00:00.000,35150,Lécousse,tramway,0.0,3423.0,0.0
2025-01-01T00:00:00.000,35363,Pont-Péan,tramway,0.0,4289.0,0.0
2025-01-01T00:00:00.000,35334,Thorigné-Fouillard,train,0.0,8631.0,0.0
2025-01-01T00:00:00.000,35238,Rennes,tramway,0.0,227830.0,0.0
2025-01-01T00:00:00.000,35230,Poilley,tramway,0.0,380.0,0.0
2025-01-01T00:00:00.000,35024,Betton,train,1.0,12775.0,0.07827788649706457
2025-01-01T00:00:00.000,35353,Vezin-le-Coquet,train,0.0,6441.0,0.0
2025-01-01T00:00:00.000,35281,Saint-Jacques-de-la-Lande,train,1.0,13593.0,0.07356727727506805
2025-01-01T00:00:00.000,35032,Bourgbarré,tramway,0.0,4692.0,0.0
