codeDepartement,nomDepartement,codeCirconscription,nomCirconscription,codeCommune,nomCommune,numeroBureauVote,codeBureauVote
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0531,35238_0531
35,Ille-et-Vilaine,3501,1ère circonscription,35238,Rennes,0532,35238_0532
35,Ille-et-Vilaine,3502,2ème circonscription,35238,Rennes,0141,35238_0141
35,Ille-et-Vilaine,3502,2ème circonscription,35238,Rennes,0142,35238_0142
35,Ille-et-Vilaine,3502,2ème circonscription,35238,Rennes,0151,35238_0151
35,Ille-et-Vilaine,3502,2ème circonscription,35238,Rennes,0152,35238_0152
35,Ille-et-Vilaine,3502,2ème circonscription,35238,Rennes,0153,35238_0153
35,Ille-et-Vilaine,3502,2ème circonscription,35238,Rennes,0154,35238_0154
35,Ille-et-Vilaine,3502,2ème circonscription,35238,Rennes,0155,35238_0155
35,Ille-et-Vilaine,3502,2ème circonscription,35238,Rennes,0156,35238_0156
35,Ille-et-Vilaine,3502,2ème circonscription,35238,Rennes,0221,35238_0221
35,Ille-et-Vilaine,3502,2ème circonscription,35238,Rennes,0222,35238_0222
35,Ille-et-Vilaine,3502,2ème circonscription,35238,Rennes,0231,35238_0231
35,Ille-et-Vilaine,3502,2ème circonscription,35238,Rennes,0232,35238_0232
35,Ille-et-Vilaine,3502,2ème circonscription,35238,Rennes,0233,35238_0233
35,Ille-et-Vilaine,3502,2ème circonscription,35238,Rennes,0241,35238_0241
35,Ille-et-Vilaine,3502,2ème circonscription,35238,Rennes,0242,35238_0242
35,Ille-et-Vilaine,3502,2ème circonscription,35238,Rennes,0243,35238_0243
35,Ille-et-Vilaine,3502,2ème circonscription,35238,Rennes,0261,35238_0261
35,Ille-et-Vilaine,3502,2ème circonscription,35238,Rennes,0262,35238_0262
35,Ille-et-Vilaine,3502,2ème circonscription,35238,Rennes,0911,35238_0911
35,Ille-et-Vilaine,3503,3ème circonscription,35238,Rennes,0621,35238_0621
35,Ille-et-Vilaine,3503,3ème circonscription,35238,Rennes,0622,35238_0622
35,Ille-et-Vilaine,3503,3ème circonscription,35238,Rennes,0623,35238_0623
35,Ille-et-Vilaine,3503,3ème circonscription,35238,Rennes,0624,35238_0624
35,Ille-et-Vilaine,3503,3ème circonscription,35238,Rennes,0625,35238_0625
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0111,35238_0111
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0112,35238_0112
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0113,35238_0113
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0114,35238_0114
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0121,35238_0121
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0122,35238_0122
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0123,35238_0123
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0131,35238_0131
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0132,35238_0132
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0133,35238_0133
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0134,35238_0134
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0135,35238_0135
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0211,35238_0211
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0212,35238_0212
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0213,35238_0213
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0214,35238_0214
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0411,35238_0411
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0412,35238_0412
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0413,35238_0413
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0414,35238_0414
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0421,35238_0421
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0422,35238_0422
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0431,35238_0431
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0432,35238_0432
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0433,35238_0433
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0434,35238_0434
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0435,35238_0435
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0511,35238_0511
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0512,35238_0512
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0513,35238_0513
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0541,35238_0541
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0542,35238_0542
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0543,35238_0543
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0544,35238_0544
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0545,35238_0545
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0546,35238_0546
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0611,35238_0611
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0612,35238_0612
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0613,35238_0613
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0614,35238_0614
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0615,35238_0615
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0616,35238_0616
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0631,35238_0631
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0632,35238_0632
35,Ille-et-Vilaine,3508,8ème circonscription,35238,Rennes,0633,35238_0633
35,Ille-et-Vilaine,3508,8ème circonscription,35240,Le Rheu,0001,35240_0001
35,Ille-et-Vilaine,3508,8ème circonscription,35240,Le Rheu,0002,35240_0002
35,Ille-et-Vilaine,3508,8ème circonscription,35240,Le Rheu,0003,35240_0003
35,Ille-et-Vilaine,3508,8ème circonscription,35240,Le Rheu,0004,35240_0004
35,Ille-et-Vilaine,3508,8ème circonscription,35240,Le Rheu,0005,35240_0005
35,Ille-et-Vilaine,3508,8ème circonscription,35240,Le Rheu,0006,35240_0006
35,Ille-et-Vilaine,3508,8ème circonscription,35240,Le Rheu,0007,35240_0007
35,Ille-et-Vilaine,3503,3ème circonscription,35245,Romillé,0001,35245_0001
35,Ille-et-Vilaine,3503,3ème circonscription,35245,Romillé,0002,35245_0002
35,Ille-et-Vilaine,3503,3ème circonscription,35245,Romillé,0003,35245_0003
35,Ille-et-Vilaine,3503,3ème circonscription,35245,Romillé,0004,35245_0004
35,Ille-et-Vilaine,3505,5ème circonscription,35250,Saint-Armel,0001,35250_0001
35,Ille-et-Vilaine,3505,5ème circonscription,35250,Saint-Armel,0002,35250_0002
35,Ille-et-Vilaine,3501,1ère circonscription,35266,Saint-Erblon,0001,35266_0001
35,Ille-et-Vilaine,3501,1ère circonscription,35266,Saint-Erblon,0002,35266_0002
35,Ille-et-Vilaine,3501,1ère circonscription,35266,Saint-Erblon,0003,35266_0003
35,Ille-et-Vilaine,3508,8ème circonscription,35275,Saint-Gilles,0001,35275_0001
35,Ille-et-Vilaine,3508,8ème circonscription,35275,Saint-Gilles,0002,35275_0002
35,Ille-et-Vilaine,3508,8ème circonscription,35275,Saint-Gilles,0003,35275_0003
35,Ille-et-Vilaine,3508,8ème circonscription,35275,Saint-Gilles,0004,35275_0004
35,Ille-et-Vilaine,3502,2ème circonscription,35278,Saint-Grégoire,0001,35278_0001
35,Ille-et-Vilaine,3502,2ème circonscription,35278,Saint-Grégoire,0002,35278_0002
35,Ille-et-Vilaine,3502,2ème circonscription,35278,Saint-Grégoire,0003,35278_0003
35,Ille-et-Vilaine,3502,2ème circonscription,35278,Saint-Grégoire,0004,35278_0004
35,Ille-et-Vilaine,3502,2ème circonscription,35278,Saint-Grégoire,0005,35278_0005
35,Ille-et-Vilaine,3502,2ème circonscription,35278,Saint-Grégoire,0006,35278_0006
35,Ille-et-Vilaine,3502,2ème circonscription,35278,Saint-Grégoire,0007,35278_0007
35,Ille-et-Vilaine,3502,2ème circonscription,35278,Saint-Grégoire,0008,35278_0008
35,Ille-et-Vilaine,3502,2ème circonscription,35278,Saint-Grégoire,0009,35278_0009
35,Ille-et-Vilaine,3502,2ème circonscription,35278,Saint-Grégoire,0010,35278_0010
35,Ille-et-Vilaine,3508,8ème circonscription,35281,Saint-Jacques-de-la-Lande,0001,35281_0001
35,Ille-et-Vilaine,3508,8ème circonscription,35281,Saint-Jacques-de-la-Lande,0002,35281_0002
35,Ille-et-Vilaine,3508,8ème circonscription,35281,Saint-Jacques-de-la-Lande,0003,35281_0003
35,Ille-et-Vilaine,3508,8ème circonscription,35281,Saint-Jacques-de-la-Lande,0004,35281_0004
35,Ille-et-Vilaine,3508,8ème circonscription,35281,Saint-Jacques-de-la-Lande,0005,35281_0005
35,Ille-et-Vilaine,3508,8ème circonscription,35281,Saint-Jacques-de-la-Lande,0006,35281_0006
35,Ille-et-Vilaine,3508,8ème circonscription,35281,Saint-Jacques-de-la-Lande,0007,35281_0007
35,Ille-et-Vilaine,3508,8ème circonscription,35281,Saint-Jacques-de-la-Lande,0008,35281_0008
35,Ille-et-Vilaine,3506,6ème circonscription,35310,Saint-Sauveur-des-Landes,0001,35310_0001
35,Ille-et-Vilaine,3502,2ème circonscription,35315,Saint-Sulpice-la-Forêt,0001,35315_0001
35,Ille-et-Vilaine,3502,2ème circonscription,35334,Thorigné-Fouillard,0001,35334_0001
