annee,coderegion,region,codedepartement,departement,codeepci,epci,codeinseecommune,codepostalcommune,commune,code_groupe,groupe_production,sous_groupe_production,production,nb_exp,surfab,surfc1,surfc2,surfc3,surfc123,surfbio
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35088,35150,CORPS-NUDS,AU,Autres surfaces,Hors liste,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1,1.685,0,0,0,0,1.685
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35088,35150,CORPS-NUDS,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Avoine,1,3.61,0,0,0,0,3.61
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35088,35150,CORPS-NUDS,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Blé tendre,1,9.51,0,0,0,0,9.51
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35088,35150,CORPS-NUDS,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Mélanges Céréaliers (sans légumineuses),1,1,0,0,0,0,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35088,35150,CORPS-NUDS,LE,Légumes frais,Légumes frais,Légumes frais sous abris,1,0.1,0,0,0,0,0.1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35088,35150,CORPS-NUDS,SF,Surfaces et cultures fourragères,Cultures fourragères,Autres plantes et surfaces fourragères n.c.a.,1,1,0,0,0,0,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35088,35150,CORPS-NUDS,SF,Surfaces et cultures fourragères,Cultures fourragères,Prairie temporaire,2,39.17,0,0,0,0,39.17
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35088,35150,CORPS-NUDS,SF,Surfaces et cultures fourragères,Surfaces toujours en herbe,Prairie permanente,1,2.51,0,0,0,0,2.51
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35139,35890,LAILLÉ,AU,Autres surfaces,Hors liste,"Autres surfaces, parcours collectifs et zones de cueillette",1,0.37,0,0,0,0,0.37
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35139,35890,LAILLÉ,AU,Autres surfaces,Hors liste,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",2,14.18,0,0,0,0,14.18
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35139,35890,LAILLÉ,FR,Fruits (yc à coque),Fruits à noyau et à pépins,Pommes,1,0.4,0,0,0,0,0.4
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35139,35890,LAILLÉ,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Avoine,1,1.7,0,0,0,0,1.7
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35139,35890,LAILLÉ,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Blé tendre,1,15.62,0,0,0,0,15.62
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35139,35890,LAILLÉ,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Mélanges Céréales-légumineuses,1,4.74,0,0,0,0,4.74
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35139,35890,LAILLÉ,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Mélanges Céréaliers (sans légumineuses),1,0.4,0,0,0,0,0.4
