batiment_groupe_id;code_departement_insee;millesime;nb_pdl_res;nb_pdl_pro;nb_pdl_tot;conso_res;conso_pro;conso_tot;conso_res_par_pdl;conso_pro_par_pdl;conso_tot_par_pdl
bdnb-bg-1RW4-XEGH-7VPK;35;2021;27.000;0.000;27.000;160489.000;0.000;160489.000;5944.037;;5944.037
bdnb-bg-1RW4-XEGH-7VPK;35;2022;27.000;0.000;27.000;128468.400;0.000;128468.400;4758.089;;4758.089
bdnb-bg-1RW4-XEGH-7VPK;35;2023;27.000;0.000;27.000;122830.200;0.000;122830.200;4549.267;;4549.267
bdnb-bg-1RW4-XEGH-7VPK;35;2024;27.000;0.000;27.000;129308.700;0.000;129308.700;4789.211;;4789.211
bdnb-bg-1S25-1GEG-655Y;35;2018;0.000;1.000;1.000;0.000;418473.800;418473.800;;418473.800;418473.800
bdnb-bg-1S25-1GEG-655Y;35;2019;0.000;1.000;1.000;0.000;367705.700;367705.700;;367705.700;367705.700
bdnb-bg-1S25-1GEG-655Y;35;2020;0.000;1.000;1.000;0.000;353746.600;353746.600;;353746.600;353746.600
bdnb-bg-1S25-1GEG-655Y;35;2021;0.000;1.000;1.000;0.000;422496.800;422496.800;;422496.800;422496.800
bdnb-bg-1S25-1GEG-655Y;35;2022;0.000;1.000;1.000;0.000;321435.900;321435.900;;321435.900;321435.900
bdnb-bg-1S25-1GEG-655Y;35;2023;0.000;1.000;1.000;0.000;289800.800;289800.800;;289800.800;289800.800
bdnb-bg-1S25-1GEG-655Y;35;2024;0.000;1.000;1.000;0.000;298902.700;298902.700;;298902.700;298902.700
bdnb-bg-1SGM-CUKD-QL55;35;2018;10.000;0.000;10.000;25219.700;0.000;25219.700;2521.970;;2521.970
bdnb-bg-1SGM-CUKD-QL55;35;2019;10.000;0.000;10.000;63167.100;0.000;63167.100;6316.710;;6316.710
bdnb-bg-1SGM-CUKD-QL55;35;2020;10.000;0.000;10.000;57497.500;0.000;57497.500;5749.750;;5749.750
bdnb-bg-1SGM-CUKD-QL55;35;2021;10.000;0.000;10.000;58374.900;0.000;58374.900;5837.490;;5837.490
bdnb-bg-1SGM-CUKD-QL55;35;2022;10.000;0.000;10.000;44770.200;0.000;44770.200;4477.020;;4477.020
