batiment_groupe_id;code_departement_insee;nb_classe_bilan_dpe_a;nb_classe_bilan_dpe_b;nb_classe_bilan_dpe_c;nb_classe_bilan_dpe_d;nb_classe_bilan_dpe_e;nb_classe_bilan_dpe_f;nb_classe_bilan_dpe_g;nb_classe_conso_energie_arrete_2012_a;nb_classe_conso_energie_arrete_2012_b;nb_classe_conso_energie_arrete_2012_c;nb_classe_conso_energie_arrete_2012_d;nb_classe_conso_energie_arrete_2012_e;nb_classe_conso_energie_arrete_2012_f;nb_classe_conso_energie_arrete_2012_g;nb_classe_conso_energie_arrete_2012_nc
bdnb-bg-G8A3-NZNN-HPE1;35;0;0;1;4;2;0;0;0;0;0;1;9;2;0;0
bdnb-bg-DYWK-21AK-BQLN;35;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0
bdnb-bg-RS82-ATYT-3FL1;35;0;0;0;5;1;0;0;0;0;0;0;2;2;0;0
bdnb-bg-45TV-RMDG-215Q;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-6CQJ-VKMK-4ZB6;35;0;0;9;1;0;0;0;0;0;2;1;3;0;0;0
bdnb-bg-4B7F-PJ9P-ANEN;35;0;2;11;0;0;0;0;0;0;8;5;0;0;0;0
bdnb-bg-M2F1-VJ2F-ZF12;35;0;0;1;1;0;0;0;0;0;0;0;3;0;0;0
bdnb-bg-GHAW-6BDG-ZK93;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-Z7NX-UNRV-C5BS;35;0;0;8;2;0;0;0;0;1;8;2;0;0;0;1
bdnb-bg-KC15-K3YA-TW4G;35;0;0;2;0;0;0;0;0;2;1;0;0;0;0;0
bdnb-bg-5NDD-H2B9-FVCM;35;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
bdnb-bg-PC8E-HUM4-SUR2;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
bdnb-bg-D3LH-L4YM-PJPD;35;0;0;6;4;0;0;0;0;0;6;5;0;0;0;4
bdnb-bg-RQ29-M26E-CMSK;35;0;0;6;1;0;0;0;0;0;3;1;1;0;0;0
bdnb-bg-7N99-7H5W-RE8C;35;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
bdnb-bg-QHSC-GYJJ-D6LX;35;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-P7AW-XTPN-T2FM;35;0;0;1;2;1;1;0;0;0;0;1;1;0;0;0
bdnb-bg-DV6D-J2LB-VJVZ;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bdnb-bg-2NA9-NQDN-FJWJ;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
