annee_consommation,zone_climatique,code_region,nom_region,code_departement,nom_departement,nom_commune,vecteur_energie,consommation_declaree
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,RENNES,Electricite,178575574
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,RENNES,Fioul,2902307
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,RENNES,Gaz,120564994
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,RENNES,Reseau de chaleur,80607748
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,ROMILLE,Electricite,1185377
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,ROMILLE,Gaz,1047189
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,SAINT ERBLON,Electricite,412541
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,SAINT ERBLON,Gaz,870753
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,SAINT GILLES,Electricite,308963
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,SAINT GREGOIRE,Electricite,29721734
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,SAINT GREGOIRE,Gaz,11999953
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,SAINT JACQUES DE LA LANDE,Electricite,19173589
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,SAINT JACQUES DE LA LANDE,Gaz,7034872
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,THORIGNE FOUILLARD,Electricite,4137056
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,THORIGNE FOUILLARD,Gaz,3150611
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,VERN SUR SEICHE,Bois,142876
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,VERN SUR SEICHE,Electricite,6996897
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,VERN SUR SEICHE,Gaz,3459654
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,VEZIN LE COQUET,Electricite,1693858
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,VEZIN LE COQUET,Gaz,389719
2021,H2a,53,Bretagne,35,Ille-et-Vilaine,VEZIN LE COQUET,Reseau de chaleur,434896
2021,H2b,53,Bretagne,35,Ille-et-Vilaine,CESSON SEVIGNE,Electricite,67474
2021,H2c,53,Bretagne,35,Ille-et-Vilaine,CESSON SEVIGNE,Electricite,40944
2021,H3,53,Bretagne,35,Ille-et-Vilaine,PACE,Electricite,202117
2021,H3,76,Occitanie,30,Gard,SAINT GILLES,Electricite,5401065
2021,H3,76,Occitanie,30,Gard,SAINT GILLES,Gaz,811689
2022,H1a,53,Bretagne,35,Ille-et-Vilaine,CESSON SEVIGNE,Electricite,1164285
2022,H1a,53,Bretagne,35,Ille-et-Vilaine,RENNES,Electricite,251221
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,ACIGNE,Electricite,585110
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,ACIGNE,Gaz,680139
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,BETTON,Electricite,4850512
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,BETTON,Gaz,2452072
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,BOURGBARRE,Electricite,1143316
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,BOURGBARRE,Gaz,1545081
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,BRECE,Electricite,2405993
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,BRECE,Gaz,587723
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,BRUZ,Electricite,10829295
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,BRUZ,Gaz,10519093
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,CESSON SEVIGNE,Electricite,61396484
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,CESSON SEVIGNE,Gaz,9697263
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,CHANTEPIE,Electricite,20398219
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,CHANTEPIE,Gaz,5085144
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,CHARTRES DE BRETAGNE,Electricite,2819476
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,CHARTRES DE BRETAGNE,Gaz,3496443
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,CHARTRES DE BRETAGNE,Reseau de chaleur,351417
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,CHARTRES DE BRETAGNE,Reseau de froid,17292
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,CORPS NUDS,Electricite,345243
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,CORPS NUDS,Gaz,458927
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,GEVEZE,Electricite,1303510
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,GEVEZE,Gaz,848087
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,LA CHAPELLE DES FOUGERETZ,Electricite,502497
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,LA CHAPELLE DES FOUGERETZ,Gaz,358274
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,LA CHAPELLE THOUARAULT,Electricite,136382
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,LAILLE,Electricite,1121581
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,LE RHEU,Electricite,10443117
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,LE RHEU,Gaz,6208619
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,MONTGERMONT,Electricite,1204971
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,MONTGERMONT,Gaz,231229
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,MORDELLES,Electricite,8477802
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,MORDELLES,Gaz,2590710
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,NOUVOITOU,Electricite,211316
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,NOUVOITOU,Gaz,447220
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,NOYAL CHATILLON SUR SEICHE,Electricite,7801648
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,NOYAL CHATILLON SUR SEICHE,Gaz,2893832
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,ORGERES,Electricite,826361
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,ORGERES,Gaz,646014
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,PACE,Electricite,9417893
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,PACE,Gaz,5319561
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,RENNES,Electricite,174700931
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,RENNES,Fioul,1979684
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,RENNES,Gaz,88472175
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,RENNES,Reseau de chaleur,63959006
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,ROMILLE,Electricite,1146484
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,ROMILLE,Gaz,726138
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,SAINT ERBLON,Electricite,312592
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,SAINT ERBLON,Gaz,499135
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,SAINT GILLES,Electricite,814542
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,SAINT GREGOIRE,Electricite,15422641
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,SAINT GREGOIRE,Gaz,4075987
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,SAINT JACQUES DE LA LANDE,Electricite,19475779
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,SAINT JACQUES DE LA LANDE,Gaz,5465191
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,THORIGNE FOUILLARD,Electricite,1594087
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,THORIGNE FOUILLARD,Gaz,2199329
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,VERN SUR SEICHE,Bois,203651
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,VERN SUR SEICHE,Electricite,6138826
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,VERN SUR SEICHE,Gaz,2342513
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,VEZIN LE COQUET,Electricite,1361233
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,VEZIN LE COQUET,Gaz,344032
2022,H2a,53,Bretagne,35,Ille-et-Vilaine,VEZIN LE COQUET,Reseau de chaleur,338123
2022,H2b,53,Bretagne,35,Ille-et-Vilaine,CESSON SEVIGNE,Electricite,89249
2022,H2b,53,Bretagne,35,Ille-et-Vilaine,RENNES,Electricite,67825
2022,H2c,53,Bretagne,35,Ille-et-Vilaine,CESSON SEVIGNE,Electricite,80613
2022,H3,53,Bretagne,35,Ille-et-Vilaine,PACE,Electricite,85815
2022,H3,76,Occitanie,30,Gard,SAINT GILLES,Electricite,4445083
2022,H3,76,Occitanie,30,Gard,SAINT GILLES,Gaz,999012
2023,H1a,53,Bretagne,35,Ille-et-Vilaine,CESSON SEVIGNE,Electricite,512914
2023,H2a,53,Bretagne,35,Ille-et-Vilaine,ACIGNE,Electricite,526332
2023,H2a,53,Bretagne,35,Ille-et-Vilaine,ACIGNE,Gaz,555687
2023,H2a,53,Bretagne,35,Ille-et-Vilaine,BETTON,Electricite,3632377
2023,H2a,53,Bretagne,35,Ille-et-Vilaine,BETTON,Gaz,2219203
