Code INSEE commune,commune,Code INSEE département,Département,Code INSEE région,Région,Type peuplement,Essence,Développement,Diamètre moyen,Surface travaux/longueur travaux,Année coupe,Hiérarchie géographique,Géo-point commune,COMMUNE_PRINCIPALE,Méthode de coupe,Nombre d'unités,Hmax CCG-LA,Courbes hauteurs (Désignation),Courbes hauteurs (Essence),Mise en oeuvre manuel (% manuel),Travaux tiers
35150,Lécousse,35,,,,Arbre isolé,Châtaignier,Actif,> 30,0,2099,,"48.3600018318, -1.22059471096",Lécousse,ELAGAGE,1,8.5,C,Châtaignier,100,Non
35353,Vezin-le-Coquet,35,,,,Arbre isolé,Thuya,Neutre,15 - 30,0,,,"48.1171829255, -1.74956473355",Vezin-le-Coquet,ABATTAGE,1,6.5,B,Thuya,100,Non
35047,Bruz,35,,,,Haie,"Saule marsault (des chèvres),Prunellier commun (Épine noire),Noisetier (Coudrier, pourpre, tortueux)",Actif,< 15,0,2027,,"48.0261755313, -1.74817480915",Bruz,TAILLE,,5.0,C,"Noisetier (Coudrier, pourpre, tortueux)",0,Non
35245,Romillé,35,,,,Haie,"Noisetier (Coudrier, pourpre, tortueux),Prunier",Actif,< 15,0,2034,,"48.2223488257, -1.87904298142",Romillé,TAILLE,,9.7,A,Prunier,100,Non
35135,Irodouër,35,,,,Arbre isolé,Saule marsault (des chèvres),Actif,> 30,0,2099,,"48.246152189, -1.95021443067",Irodouër,ABATTAGE,,9.2,A,Saule marsault (des chèvres),100,Non
35135,Irodouër,35,,,,Futaie,Chêne commun,Actif,> 30,0,2031,,"48.246152189, -1.95021443067",Irodouër,ECIMAGE,10,18.4,C,Chêne commun,100,Non
35051,Cesson-Sévigné,35,,,,Arbre isolé,Chêne commun,Actif,15 - 30,0,2099,,"48.1202268032, -1.59714447272",Cesson-Sévigné,ABATTAGE,1,8.0,D,Chêne commun,100,Non
35088,Corps-Nuds,35,,,,Arbre isolé,Cerisier,Actif,> 30,0,2028,,"47.9823871404, -1.57026704551",Corps-Nuds,ECIMAGE,1,12.7,A,Cerisier,0,Non
35088,Corps-Nuds,35,,,,Arbre isolé,Palmier,Neutre,15 - 30,0,,,"47.9823871404, -1.57026704551",Corps-Nuds,AUCUNE,1,19.6,A,Palmier,,Non
35024,Betton,35,,,,Futaie,Châtaignier,Actif,> 30,0,2037,,"48.1812360423, -1.64589552684",Betton,ABATTAGE,11,20.6,B,Châtaignier,100,Non
35088,Corps-Nuds,35,,,,Haie,"Saule marsault (des chèvres),Chêne commun,Châtaignier",Actif,< 15,0,2028,,"47.9823871404, -1.57026704551",Corps-Nuds,TAILLE,40,8.9,C,Chêne commun,0,Non
35051,Cesson-Sévigné,35,,,,Lisière,,Actif,> 30,0,2027,,"48.1202268032, -1.59714447272",Cesson-Sévigné,ELAGAGE,3,0.0,,Chêne commun,100,Non
35051,Cesson-Sévigné,35,,,,Haie,"Saule (blanc, argenté, vivier, Osier blanc),Saule marsault (des chèvres)",Actif,< 15,0,2027,,"48.1202268032, -1.59714447272",Cesson-Sévigné,TAILLE,,3.0,C,"Saule (blanc, argenté, vivier, Osier blanc)",100,Non
35088,Corps-Nuds,35,,,,Futaie,Aulne,Neutre,15 - 30,0,,,"47.9823871404, -1.57026704551",Corps-Nuds,AUCUNE,3,22.0,B,Aulne,,Non
35353,Vezin-le-Coquet,35,,,,Arbre isolé,Charme commun (Charmille),Actif,> 30,0,2025,,"48.1171829255, -1.74956473355",Vezin-le-Coquet,ECIMAGE,1,13.5,B,Charme commun (Charmille),100,Non
35353,Vezin-le-Coquet,35,,,,Arbre isolé,Orme,Neutre,15 - 30,0,,,"48.1171829255, -1.74956473355",Vezin-le-Coquet,ABATTAGE,1,19.5,C,Orme,100,Non
35051,Cesson-Sévigné,35,,,,Futaie,"Merisier,Chêne commun",Actif,> 30,0,2099,,"48.1202268032, -1.59714447272",Cesson-Sévigné,ABATTAGE,3,7.5,B,Merisier,0,Non
