REG,DEP,LIBDEP,CODGEO,LIBGEO,ANNEE,Existence d'une convention de mutualisation,Nombre d'agents de police municipale,Nombre d'ASVP,Nombre de gardes champêtres,Nombre de brigades canines (2013),Nombre de maîtres-chiens de police municipale,Nombre de chiens de patrouille de police municipale,Communes partenaires (commande R),Communes partenaires (code INSEE),Communes partenaires (libellé),Population au 1er janvier de l'année d'enquête,Population au 1er janvier de l'année suivante
53,35,ILLE_ET_VILAINE,35210,PACE,2023,0,3,0,0,NA,0,0,NA,NA,NA,11703,NA
53,35,ILLE_ET_VILAINE,35210,PACE,2024,0,2,0,0,NA,0,0,NA,NA,NA,NA,NA
53,35,ILLE_ET_VILAINE,35238,RENNES,2013,NA,62,21,0,0,NA,NA,NA,NA,NA,211373,213454
53,35,ILLE_ET_VILAINE,35238,RENNES,2014,NA,56,18,0,NA,0,0,NA,NA,NA,213454,215366
53,35,ILLE_ET_VILAINE,35238,RENNES,2015,NA,62,24,0,NA,0,0,NA,NA,NA,215366,216268
53,35,ILLE_ET_VILAINE,35238,RENNES,2016,NA,62,20,0,NA,0,0,NA,NA,NA,216268,216815
53,35,ILLE_ET_VILAINE,35238,RENNES,2017,NA,73,20,0,NA,4,4,NA,NA,NA,216815,217728
53,35,ILLE_ET_VILAINE,35238,RENNES,2018,NA,73,20,0,NA,4,4,NA,NA,NA,217728,220488
53,35,ILLE_ET_VILAINE,35238,RENNES,2019,NA,77,1,0,NA,6,9,NA,NA,NA,220488,222485
53,35,ILLE_ET_VILAINE,35238,RENNES,2020,NA,74,20,0,NA,4,6,NA,NA,NA,222485,225081
53,35,ILLE_ET_VILAINE,35238,RENNES,2021,0,80,20,0,NA,3,6,NA,NA,NA,225081,227830
53,35,ILLE_ET_VILAINE,35238,RENNES,2022,0,96,16,0,NA,3,3,NA,NA,NA,227830,230890
53,35,ILLE_ET_VILAINE,35238,RENNES,2023,0,110,16,0,NA,3,3,NA,NA,NA,230890,NA
53,35,ILLE_ET_VILAINE,35238,RENNES,2024,0,115,25,0,NA,4,7,NA,NA,NA,NA,NA
