date_mesure,geocode_commune,libelle_commune,classe_distance,mode_transport,numerateur,denominateur,valeur
2022-01-01T00:00:00.000,35131,L'Hermitage,50km et plus,Deux-roues motorisé,0.0,50.58121247104516,0.0
2022-01-01T00:00:00.000,35204,Nouvoitou,5-10km,Marche,0.0,99.52396055249483,0.0
2022-01-01T00:00:00.000,35080,Cintré,50km et plus,Vélo,0.0,15.63720225178044,0.0
2022-01-01T00:00:00.000,35051,Cesson-Sévigné,Moins de 2km,Vélo,0.0,587.34409105209,0.0
2022-01-01T00:00:00.000,35079,Chevaigné,10-20km,Voiture,563.4556735123798,745.2191908184302,75.60938854695485
2022-01-01T00:00:00.000,35208,Orgères,Moins de 2km,Transports en commun,24.21053514942703,185.3139036133528,13.064608039308789
2022-01-01T00:00:00.000,35238,Rennes,10-20km,Marche,0.0,7196.143595165497,0.0
2022-01-01T00:00:00.000,35022,Bécherel,10-20km,Voiture,48.84356967516762,48.84356967516762,100.0
2022-01-01T00:00:00.000,35079,Chevaigné,5-10km,Vélo,0.0,106.0540321594452,0.0
2022-01-01T00:00:00.000,35039,Brécé,Moins de 2km,Voiture,52.08395628479964,133.02286614422886,39.1541377768301
2022-01-01T00:00:00.000,35180,Miniac-sous-Bécherel,Moins de 2km,Voiture,35.518879921413586,50.173276355721995,70.79242676836441
2022-01-01T00:00:00.000,35278,Saint-Grégoire,2-5km,Transports en commun,67.30254018725041,866.1156530425352,7.770618155996445
2022-01-01T00:00:00.000,35200,Moutiers,10-20km,Voiture,43.79032258064514,43.79032258064514,100.00000000000001
2022-01-01T00:00:00.000,35363,Pont-Péan,50km et plus,Marche,0.0,74.17999557144364,0.0
2022-01-01T00:00:00.000,35204,Nouvoitou,10-20km,Deux-roues motorisé,0.0,1117.8924515192004,0.0
2022-01-01T00:00:00.000,35059,La Chapelle-des-Fougeretz,2-5km,Marche,5.07341479650026,90.2230136342887,5.62319367546834
2022-01-01T00:00:00.000,35059,La Chapelle-des-Fougeretz,10-20km,Deux-roues motorisé,20.43431308723462,1015.6459844032878,2.0119523338873027
2022-01-01T00:00:00.000,35055,Chantepie,2-5km,Vélo,75.04549167170873,659.0853177093825,11.386309124974218
2022-01-01T00:00:00.000,35363,Pont-Péan,20-50km,Marche,0.0,174.31246304802025,0.0
2022-01-01T00:00:00.000,35132,Hirel,Moins de 2km,Marche,10.150720414094511,80.13340540585592,12.66727697729008
2022-01-01T00:00:00.000,35066,Chartres-de-Bretagne,5-10km,Transports en commun,47.74933554092137,315.21547834621333,15.148156997695537
2022-01-01T00:00:00.000,35047,Bruz,20-50km,Deux-roues motorisé,0.0,524.0788834102989,0.0
2022-01-01T00:00:00.000,35266,Saint-Erblon,10-20km,Transports en commun,111.6133545662172,940.1460382187383,11.871916705375593
2022-01-01T00:00:00.000,35160,Loutehel,20-50km,Pas de transport,0.0,39.10216390176241,0.0
2022-01-01T00:00:00.000,35135,Irodouër,50km et plus,Pas de transport,0.0,10.228421260013441,0.0
2022-01-01T00:00:00.000,35310,Saint-Sauveur-des-Landes,Moins de 2km,Vélo,0.0,83.51031236549828,0.0
2022-01-01T00:00:00.000,35144,Langan,Moins de 2km,Vélo,9.60444309187964,72.1815472259693,13.305953475633142
2022-01-01T00:00:00.000,35206,Noyal-Châtillon-sur-Seiche,20-50km,Marche,0.0,248.59309754042187,0.0
2022-01-01T00:00:00.000,35334,Thorigné-Fouillard,10-20km,Vélo,0.0,1928.0502297619141,0.0
2022-01-01T00:00:00.000,35310,Saint-Sauveur-des-Landes,10-20km,Pas de transport,0.0,259.885992628643,0.0
2022-01-01T00:00:00.000,35238,Rennes,5-10km,Pas de transport,0.0,12891.190257549188,0.0
2022-01-01T00:00:00.000,35001,Acigné,5-10km,Deux-roues motorisé,15.01319648093841,715.6290322580638,2.097902097902099
2022-01-01T00:00:00.000,35136,Janzé,Moins de 2km,Transports en commun,10.0190023752969,340.63657957244675,2.941258507196246
2022-01-01T00:00:00.000,35240,Le Rheu,Moins de 2km,Deux-roues motorisé,0.0,519.470927187009,0.0
2022-01-01T00:00:00.000,35353,Vezin-le-Coquet,Moins de 2km,Voiture,0.0,139.69146005509634,0.0
2022-01-01T00:00:00.000,35001,Acigné,10-20km,Deux-roues motorisé,20.01759530791788,1401.2316715542513,1.4285714285714288
2022-01-01T00:00:00.000,35051,Cesson-Sévigné,2-5km,Transports en commun,231.20912851653497,2366.6966235335976,9.769276138626001
2022-01-01T00:00:00.000,35363,Pont-Péan,20-50km,Voiture,158.78659977025512,174.31246304802025,91.09308479366274
2022-01-01T00:00:00.000,35281,Saint-Jacques-de-la-Lande,20-50km,Marche,0.0,369.42506733763344,0.0
2022-01-01T00:00:00.000,35051,Cesson-Sévigné,50km et plus,Transports en commun,21.701706584573635,194.5242227583823,11.156300370637764
2022-01-01T00:00:00.000,35363,Pont-Péan,5-10km,Vélo,4.71993874695865,531.047481226396,0.8887978784982593
2022-01-01T00:00:00.000,35238,Rennes,20-50km,Pas de transport,0.0,4216.09980882739,0.0
